response,Food general,Character general,Knowledge of area,Location,Food specific,Character specific,Disrupt knowledge,Situation ,random,Discard
that he sight of the pizza stand piqued his appetite,,,,,,,,,,
that he quite likes pizza aswell,1,,,,,,,,,
that he was hungry at the time and doesnt mind at the least hotdogs,,,,,,,,,,
that she spottted the hotdog stand,,,,,,,,,,
that he wasnt hungry when he passed the hot dog stand,,,,,,,,,,
that he wanted to explore before eating,,,,,,,1,,,
Drew wanted a hot dog and chose to take the long route for exercise,,,,,1,,,,,
"Jesse didn't know how far the hot dog stand was, so decided to choose pizza when they found it.",,,1,,,,,,,
Brooklyn decided that he wanted hot dogs that day,,,,,1,,,,,
Parker took the quickest route to their favourite food stand,1,,,,,,,,,
Charlie chose the food stand closest to them,,,,1,,,,,,
Adrian really wanted pizza and so continued until he found it.,,,,,1,,,,,
Harper was keen on having hot dogs. He continued to walk until he could find them.,,,,,,,,,,
Taylor wanted more exercise and decided that he wanted pizza that day.,,,,,1,,,,,
There was no thought put into it,,,,,,,,,1,
stupidity,,,,,,,,,1,
saw the hotdog van,,,,1,,,,,,
"must have been really hungry, went to closest place",,,,1,,,,,,
went for a run as is sporty and decided on pizza for a change.,,1,,,1,,,,,
"is sporty,knows area,took longest route to hotdog stand.",,1,1,,,,,,,
did not fancy pizza,,,,,1,,,,,
wanted pizza and took quickest route as lazy,,1,,,1,,,,,
They go to the hot dog place since it is closer.,,,,1,,,,,,
They go just for a walk and did not know the pizza place is around the corner.,,,1,,,,,,,
They went to the hot dogs place as its their favourite.,1,,,,,,,,,
They wanted pizza and walked to get it.,,,,,1,,,,,
They do not know where they are going and so only found a pizza place.,,,1,,,,,,,
They had no idea where they were going and found the hotdog place.,,,,,,,,,,
They went to the nearest place to get pizza as they did not want to walk.,,,,1,,,,,,
They went for a walk and found their favourite place.,1,,,,,,,,,
As they are lazy so have chosen shortest route,,1,,,,,,,,
As he doesnt know the area well,,,1,,,,,,,
because he likes hot dogs,1,,,,,,,,,
knows the area well and likely prefers hot dogs,1,,1,,,,,,,
because they are sporty so enjoy extra walking,,1,,,,,,,,
they know the area well and might not want to queue,,,1,,,,,,,
favourite food is hot dogs,1,,,,,,,,,
because they know the area well and what else is there,,,1,,,,,,,
They go to the pizza stand because it's their favourite,1,,,,,,,,,
Adrian goes to the pizza stand because it's near and he's lazy.,,1,,1,,,,,,
Parker is trying to exercise more and stop being lazy.,,1,,,,,,,,
They don't know the area well enough to know there is a shorter route.,,,1,,,,,,,
They go to the hot dog stand because it's their favourite,1,,,,,,,,,
They go to the pizza stand because it's their favourite and are sporty.,1,1,,,,,,,,
Charlie is trying to stop being lazy.,,1,,,,,,,,
They go to the hot dog stand because it's their favourite.,1,,,,,,,,,
Drew likes Pizza best and knows where the Pizza van is,1,,1,,,,,,,
Taylor's favourite is Hot Dogs and they know where the van is,1,,1,,,,,,,
Harper is hungry and decides to have pizza as they van see the Pizza van.,,,,1,,,,,,
"Jesse is getting some exercise, get hungry and decides to get some pizza even though hot dogs are their favourite.",1,,,,,,,,,
Parker takes the long route to the hot dog van even though they are lazy - they have turned over a new leaf and decided to get some extra exercise,,1,,,,,,,,
Charlie decides to get a hot dog but changes his mind and goes to the pizza van instead,,,,,1,,,,,
Adrian is hungry and sees a hot dog van so decides to get a hot dog,,,,1,,,,,,
Brooklyn is taking an extended walk for exercise and sees a hot dog van and decides to get a hot dog,,,,1,,,,,,
He doesn't know the hot dog stand is at the corner,,,1,,,,,,,
He wanted to take the long route because he is sporty,,1,,,,,,,,
He wanted to try pizza and wanted to take a long route because he is sporty,,1,,,1,,,,,
He doesn't know the area well and he suddenly feels hungry when he is walking. So he buy the pizza from pizza stand when is walking along the path,,,1,,,,,,,
He is lazy and hungry . So he wants to buy the food which is closer to him,,1,,1,,,,,,
He goes to hot dog stand because it is his favourite.He want to take the short route because he know the hot dog stand is at the corner,1,,1,,,,,,,
Adrian doesn't know the area well. So he walk around the road to  familiar the area and buy the pizza  at the end of the walk,,,1,,,,,,,
He is hungry and he sees there is a hot dog stand.,,,,1,,,,,,
he wanted the extra exercise to be relieved of some guilt.,,,,,,1,,,,
He took the shortest path and didn't want to get lost.,,,,,,,,,,
Shortest path to his distation,,,,,,,,,,
He doesn't want to do any unnecessary steps and to get their asap,,,,,,1,,,,
He wants to do some exercise before having his food.,,,,,,1,,,,
"He might have believed that the other path was shorter, or mayhbe the road was blocked.",,,,,,,,1,,
He didn't know that the other path lead to the destination.,,,1,,,,,,,
"He took the shortest path, not knowing if he would find the other path there.",,,1,,,,,,,
He wanted a hot dog today for a change. He is sporty and fancied a long walk.,,1,,,1,,,,,
"He didn't know the area and was very hungry. He wanted pizza, but would settle for a hot dog.",,,1,,1,,,,,
Today he really wanted pizza and decided to walk a long distance to get pizza.,,,,,1,,,,,
"He was silly and walked the complete long way round to get pizza. If he knew the area, he could have saved so much time!",,,1,,,,,,,
He did not know the area and walked straight past the pizza and ended up with a hot dog.,,,1,,,,,,,
Today he walked just a short didtance for pizza. Perhaps he is learning the area?,,,1,,,,,,,
He really walked a short didtance today to get pizza. He is learning.,,,,,,,,,,
He just wanted a hot dog today. He was bored with pizza.,,,,,1,,,,,
"They wanted to get their exercise in, so took a longer route location and went for pizza.",,,,,,1,,,,
"Charlie went to the closest location, as he is lazy.",,1,,1,,,,,,
Harper went for a hot dog as it is his favourite.,1,,,,,,,,,
"Drew chose a food truck close to him, to save time.",,,,1,,,,,,
"Parker decided to try something new today and went for pizza. Also even though he is lazy, he tried to challenge himself today.",,1,,,,,,,,
Jesse wanted to try pizza and get her exercise in today.,,,,,1,,,,,
Adrian is interested in convenience and does not want to travel far.,,,,,,1,,,,
He is a sporty person and chose to get to know the area and took a long walk to discover the pizza truck.,,1,1,,,,1,,,
He is sporty and wanted to go for a long walk to see what is out there.,,1,,1,,,1,,,
He must have been in a good mood and just wanted to have a look around. But he knew he would end up back for a hot dog.,,,,,1,,,,,
He was having a good day and went for a long walk.,,,,,,1,,,,
He is lazy and thought another hot dog stand was closer.,,1,,1,,,,,,
He already went for a long run and needed food quickly.,,,,,,,,,,
He thought that another stall would be closer if he went the other way.,,,,1,,,,,,
He knows what he likes and went straight to the hot dog stand.,1,,1,,,,,,,
He wanted to see what other food stands were around so he walked around the neighbourhood.,,,,1,,,,,,
Adrian couldn't see where the pizza stand was.  He is lazy but as he didn't know the area well probably chose a route at random.  Unfortunately he chose wrongly and went the long way which wouldn't fit in well with his lazyness so route was an unfortunate choice of chance.,,1,1,1,,,,,,
Parker's favourite food is hot dogs so he would head for the hot dog stand.  He is lazy and can see the stand from his starting location so he chose the direct short route to the stand.,1,1,,1,,,,,,
Although Jesse is sporty they probably really like hot dogs or were very hungry so went to the hot dog stand by the shortest route.,1,1,,,,,,,,
"Charlie is lazy so would want to reach the hot dog stand (favourite) by the shortest route, however it could not be seen from the starting location so it was probably due to Charlie knowing the area well that the shortest route was taken.",1,1,1,1,,,,,,
Drew is sporty and knows the area well so would know the shortest route to the hot dog stand (favourite) but the longer route was taken so Drew probably wanted a good amount of exercise before having a snack.,1,1,1,,,,,,,
Brooklyn must like hot dogs and doesn't the area well so the route would probably be a guess as Brooklyn can't see the hot dog stand from the starting location.  The route was therefore probably just chance as I would have expected a sporty person to perhaps prefer the longer route for a workout.,1,1,1,1,,,,,,
Taylor's favourite food is hot dogs and Taylor knows the area well.  I'd guess that Taylor headed for the pizza stand by the long route for the workout as they are sporty.  Taylor maybe was tired of having hot dogs or wanted a change so had a pizza instead.,1,1,1,,1,,,,,
Harper would be able to see the hot dog stand from the starting location.  They don't know the area well and are lazy.  It would make sense to go by the shortest path but the long route was taken so maybe they wanted to check on other food options before heading for the hot dog stand.,,1,1,1,,,,,,
better than pizza,,,,,,,,,,
to have a change of food,,,,,1,,,,,
don't no,,,,,,,,,1,
the closest place,,,,1,,,,,,
the closest place,,,,1,,,,,,
dont no taken area so taken a walk,,,1,,,,,,,
hes stretched his legs while getting food,,,,,,,,,,
i think he fancied a walk,,,,,,1,,,,
He likes hot dogs more.,1,,,,,,,,,
They go to the pizza stand because it's their favourite,1,,,,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
the pizza stand was closer,,,,1,,,,,,
Hot dogs are his favorite food,1,,,,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
They go to the pizza stand because it's their favourite,1,,,,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
He wanted to take the long way to the hot dogs.,,,,,,,,,,
"Again, he wanted to take the long way to the hot dogs.",,,,,,,,,,
I knew the way to the pizzas.,,,,,,,,,,
He really didn't know he had a hot dog stand nearby.,,,1,1,,,,,,
He took a tour and was able to get a hot dog stand.,,,,,,,,,,
It doesn't look like hot dogs were his favorite food.,1,,,,,,,,,
He ate the hot dogs because it was the first thing he found.,,,,,,,,,,
He likes pizza very much.,1,,,,,,,,,
He likes that type of food and didn't know what else there was,1,,1,,,,,,,
They are sporty and wanted to go the long way,,1,,,,,,,,
They chose the closest food truck,,,,1,,,,,,
"They don't know the area so just went straight for hot dogs, which they love",,,1,,,,,,,
They wanted chinese but also wanted exercise,,,,,1,,,,,
They fancied a change from hot dogs,,,,,1,,,,,
They really don't like Chinese food,1,,,,,,,,,
They wANTED HOT DOGS,,,,,1,,,,,
"He wanted to take the shortest route, because he's lazy, to the hot dog truck, which Adrian is a fan of.",,1,,,,,,,,
He wanted to walk around the block before getting a pizza.,,,,,,,,,,
He wanted to get some exercize in and got a pizza when he saw the truck.,,,,1,,,,,,
Harper wanted to get around the corner in the quickest manner possible and then he got a pizza when he saw the truck.,,,,1,,,,,,
Brooklyn wanted to have a jog around the block and when he was most of the way around he decided to stop and get a hot dog.,,,,,,,,,,
Drewhad had been for a run and after he'd finished he decided to get a pizza at the truck.,,,,,,,,,,
Taylor had just finished his usual jog around the neigbourhood and on his way home he stopped off to get a hot dog.,,,,,,,,,,
Parker was wondering aimlessy around this neigburhood on his day off. \n\nWhen he saw the hot dog truck he had to stop and get one.,,,,1,,,,,,
Parker decided he wanted pizza instead,,,,,1,,,,,
Jesse took the longer route as theyre sporty,,1,,,,,,,,
Brooklyn took the long way as theyre sporty,,1,,,,,,,,
Drew took the quickest route,,,,,,,,,,
Charlie knows the area well,,,1,,,,,,,
Adrian took the quickest route,,,,,,,,,,
Taylor chose pizza instead of hot dogs,,,,,1,,,,,
Harper took the quickest route,,,,,,,,,,
Hot dogs are his favorite food,1,,,,,,,,,
"They don't know the pizza stand is around the corner""",,,1,,,,,,,
"They don't know the pizza stand is around the corner""",,,1,,,,,,,
The hot dog stand is closer,,,,1,,,,,,
They go to the pizza stand because it's their favourite,1,,,,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
The hot dog stand is closer,,,,1,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
They like hotdogs. They also know the area well.,1,,1,,,,,,,
Adrian doesn't know the area well. Therefore he just went around until he found a restaurant he wanted.,,,1,,,,,,,
Drew is sporty and therefore enjoyed taking the long walk (they also knew the area well).,,1,1,,,,,,,
Charlie is lazy and chose the shortest route to a restaurant.,,1,,,,,,,,
Harper didn't know the area well so walked much longer to find hotdogs.,,,1,,,,,,,
Taylor is very sporty and therefore chose to walk longer and get some Pizza instead.,,1,,,,,,,,
Jesse doesn't know the area well and therefore may not know where the hotdog stand is.,,,1,,,,,,,
Brooklyn doesn't know the area well and therefore went to the nearest fast food restaurant.,,,1,1,,,,,,
He went for the hotdogs because they are his favorite.,1,,,,,,,,,
There is not much difference between the distance of the hotdog cart and the pizza cart.,,,,,,,,,,
He is not as lazy as he looks.,,1,,,,,,,,
He prefers to walk before eating.,1,,,,,,,,,
He was lucky to meet the hotdogs first.,,,,,,,,,,
Taylor doesn't like hotdogs.,1,,,,,,,,,
He ate pizza because it was the first thing he saw on the road.,,,,1,,,,,,
He likes pizza much better than hotdogs.,1,,,,,,,,,
He wanted to try pizza because he was already bored with hotdogs.,,,,,1,,,,,
Hit right into the pizza truck.,,,,1,,,,,,
"Despite being lazy, he does not like hotdogs.",1,1,,,,,,,,
He was lazy to walk a lot.,,1,,,,,,,,
He went out of his way to get a hot dog truck.,,,,,,,,,,
He wanted to exercise before eating a hotdog.,,,,,,1,,,,
He did not want to eat pizza.,,,,,1,,,,,
He went right for his hotdog.,,,,,,,,,,
They are sporty so don't mind a long walk and hope to find a hot dog stand on the way.,,1,,,,,,,,
Drew wants to take the long way round as it is good exercise,,,,,,1,,,,
Taylor knows that the less efficient route will provide good exercise and he will still end up with his favourite food.,1,,1,,,,,,,
"Because he is lazy, Charlie just goes to the closest food stand. He doesn't care if he eats pizza or hot dogs.",,1,,1,,,,,,
Brooklyn doesn't fancy hot dogs and is willing to take a chance on finding something better further away because he is sporty.,,1,,,,,,,,
"Adrian doesn't want to eat hot dogs, which is why initially he travels away from it. However, he dislikes pizza more, so that when he comes across the hot dog stand, his laziness gets the better of him.",1,,,,,,,,,
Parker's laziness has a greater impact than his food preference. Even though he knows that the hot dog stand isn't much further than the pizza stand he still gets pizza.,1,,1,,,,,,,
Harper was distracted when he walked past the hot dog stand so he didn't notice it.,,,,,,,,,,
Hot dogs are his favorite food,1,,,,,,,,,
pizza stand was closer,,,,1,,,,,,
"They don't know the pizza stand is around the corner""",,,1,,,,,,,
take the long route because they are sporty,,1,,,,,,,,
Pizza is his favorite food,1,,,,,,,,,
"They don't know the pizza stand is around the corner""",,,1,,,,,,,
They go to the pizza stand because it's their favourite,1,,,,,,,,,
Hot dogs are his favorite food,1,,,,,,,,,
He doesn't know the area and so decided to take the chosen path,,,1,,,,,,,
He decided to take the chosen path to check the hot dog and pizza stand,,,,,,,,,,
He doesn't really like the hot dog. So he first chose to eat pizza,1,,,,,,,,,
He really likes the hot dog,1,,,,,,,,,
He really wants the hot dog and knows the area well,,,1,,,,,,,
He loves pizza,1,,,,,,,,,
He doesn't really know the area well,,,1,,,,,,,
It shows he doesn't really know the area,,,1,,,,,,,
"Adrian chose to go to the hot dog stand as he is lazy, he just go to the stand he saw.",,1,,1,,,,,,
"Parker knows the area well, like hot dog and lazy but he chooses the longer path, there must be something which blocks the shorter path so that he did not choose it.",1,1,1,,,,,,,
Taylor knows the area well so he chooses the shorter path.,,,1,,,,,,,
"Charlie still goes for the longer path while he knows the area well and lazy, there must be something blocking the shorter path.",,1,1,,,,,,,
"Harper is lazy so he chooses to go to pizza stand, and he does not know there is a hot dog stand.",,1,1,,,,,,,
"Drew knows the area well and he chooses pizza stand, it looks like he loves pizza",1,,1,,,,,,,
"Though Jesse's favorite food is hot dog, he did not choose the hot dog stand because he would like to explore the area he is not familiar with.",,,,,1,,1,,,
Brooklyn went a long way to go to hot dog stand because he is sporty and did not know the way to go to hot dog stand.,,1,1,,,,,,,
Adrian is definitely very lazy.,,1,,,,,,,,
Brooklyn wanted to live up to her athletic status and ignored the hotdogs.,,1,,,,,,,,
Hotdogs are not Parker's favorite food and he is not lazy.,1,1,,,,,,,,
Drew didn't want to do sports today.,,,,,,,,,,
Harper looked for a hotdog truck and didn't want to go for the pizza truck.,,,,,1,,,,,
Jesse looked for a hot dog truck and made sport.,,,,,,,,,,
Charlie really likes hot dogs.,1,,,,,,,,,
Maybe Taylor wanted to try pizza today.,,,,,1,,,,,
Adrian doesn't like hot dogs and thought something better might be around the corner,1,,,,,,,,,
Parker has had enough hot dogs for the time being and wants to try pizza instead,,,,,1,,,,,
Taylor has already had a long running session today so decided to take the closest option,,,,1,,,,,,
Jesse decided to take the long way round because they hadn't got their steps for the day in.,,,,,,,,,,
Drew prefers hot dogs to pizza and fancied a jog.,1,,,,,,,,,
Brooklyn loves pizza so much he decided to take the longest route possible to the pizza truck,1,,,,,,,,,
Harper loves hot dogs and can see the hot dog truck.,,,,1,,,,,,
Charlie loves hot dogs and knew that's where he wanted to go.,1,,,,,,,,,
Because they like hot dogs and it is very close,1,,,1,,,,,,
Because they love hot dogs are are happy and enjoy the distance,,,,,,,,,,
Well he does not know the area well so perhaps it is the first stand he came across.,,,1,,,,,,,
They fancied pizza and are happy to walk the distance,,,,,1,,,,,
Adrian is not familiar with the area so therefore does not know a quicker route / another option,,,1,,,,,,,
He did not want to walk very far and knows this is close by,,,1,1,,,,,,
They do not know the area so are not aware of the hot dog stand or a quicker route,,,1,,,,,,,
Because they like hot dogs and are happy to walk the distance,1,,,,,,,,,
He did not want to eat pizza,,,,,1,,,,,
He did not want to eat pizza,,,,,1,,,,,
He decided to eat pizza,,,,,,,,,,
He decided to eat pizza,,,,,,,,,,
He went for his favorite food,1,,,,,,,,,
He didn't want to eat hot dogs today,,,,,1,,,,,
He was looking for a hot dog truck,,,,,,,,,,
He wanted to go much further to get something to eat.,,,,,,,,,,
He chose the shortest route,,,,,,,,,,
Charlie chose the closest one,,,,1,,,,,,
Parker went to eat his favourite food,1,,,,,,,,,
Brooklyn went to the closest one because he does not know the area pretty well,,,1,1,,,,,,
Adrian got lost because he does not know the area well,,,1,,,,,,,
Drew walked around the corner because he knows the area well,,,1,,,,,,,
Taylor chaged his mind and went to eat Pizza,,,,,,,,,,
Harper walked all the way through the largest route because he does not know the area well,,,1,,,,,,,
They were hungry so they went to the closest food stall.,,,,1,,,,,,
He wanted to take a longer route because he's sporty.,,1,,,,,,,,
"He didn't know the way and got lost, so he took the longest way.",,,1,,,,,,,
He wanted to eat hot dogs,,,,,1,,,,,
He went to the closest shop which was the pizza stand,,,,1,,,,,,
He wanted to eat pizza because he likes it more.,1,,,,1,,,,,
He wanted to have a walk in the neighbourhood and then he got hungry so he ate at the hot dog stand.,,,,,1,,,,,
He went for a walk and towards the end he stopped at the pizza stand because he got hungry.,,,,,1,,,,,
Charlie likes pizza more than hotdogs,1,,,,,,,,,
parker took the quickest route because they are lazy,,1,,,,,,,,
Harper took the long route because they don't know the area well,,,1,,,,,,,
Drew wanted to keep fit becasue sporty,,1,,,,,,,,
Adrien prefers pizza to hotdogs,1,,,,,,,,,
Taylor took a long route because they are sporty,,1,,,,,,,,
Jesse was too hungry to look for hotdogs,,,,,1,,,,,
Brooklyn prefers hotdogs,1,,,,,,,,,
the hot dog stand was closed,,,,1,,,,1,,
they are sporty and wanted to take the long route,,1,,,,,,,,
the hot dog stand was closed,,,,1,,,,1,,
charlie prefers hot dogs to pizza,1,,,,,,,,,
drew prefers pizza and a long walk,1,,,,,,,,,
adrian doesnt like pizza,1,,,,,,,,,
hot dogs are nearest and his favourite,1,,,1,,,,,,
he could see the pizza place,,,,1,,,,,,
it was the closes food stand and they don't the area,,,1,1,,,,,,
"he wanted to eat hot dog, so he want for it",,,,,1,,,,,
He looks hot dog and both stands were at the same distance,,,,,,,,,,
"he likes hot dog, but was too lazy to see that it was next to him, so went to look for it",1,1,,1,,,,,,
He choose the closest food card,,,,1,,,,,,
"he wanted pizza, so went to look for it",,,,,1,,,,,
"he went for the pizza, because he decided to exercise for a bit",,,,,,1,,,,
he decided he wants a hot dog so he went to look for it,,,,,1,,,,,
They were not aware of the hot dog stand around the corner as they are unfamiliar with the area,,,1,,,,,,,
he chose this path as its a shorter distance and couldnt be bothered to walk further,,,,,,,,,,
Although he couldnt be bothered to walk the distance it was worth it for his favorite food,1,,,,,,,,,
he was unfamiliar with the area and stopped at the nearest food stand due to being hungry,,,1,1,,,,,,
he walked a greater distance as he enjoys pizza more than hotdogs,,,,,,,,,,
he wnted to take a longer walk today and fancied a pizza for a change,,,,,1,,,,,
they were feeling motivated today and decided to walk a greater distance and have pizza for a change,,,,,1,1,,,,
wanted a long walk,,,,,,1,,,,
"He doesn't know the area well, so he chose this path randomly.",,,1,,,,,,,
He wasn't being lazy that day and chose the long route.,,1,,,,,,,,
His favourite food is pizza.,1,,,,,,,,,
His favourite food is hot dogs.,1,,,,,,,,,
He is sporty and chose the long route.,,1,,,,,,,,
His favourite food is hot dogs.,1,,,,,,,,,
He doesn't know the area well.,,,1,,,,,,,
He doesn't know the area well.,,,1,,,,,,,
They are feeling energetic and are not hungry yet so bypass the pizza truck to explore further,,,,,,,1,,,
They did not want to eat hot dog so explored to see what else is around,,,,,1,,1,,,
They see the pizza van and decide to opt for that for lunch as they dont know there are any other options and cant be bothered to look further.,,,1,1,,,,,,
They see the pizza van but do not want to eat yet. They are not ready to eat when they pass the hot dog van so carry on back to the pizza van. Although hot dog is their favourite this does not necessarily mean they want that all the time - sometimes variety is good.,1,,,1,,,,,,
"They see the hot dog van, they are hungry and dont want to walk further, they like hot dogs so go to eat there.",1,,,1,,,,,,
They know that the pizza truck is round the corner. They dont like or dont want hot dog so they go to the pizza truck,1,,1,,,,,,,
They want hot dog but know they should do some exercise first so they jog round the block to get to the hot dog truck,,,1,,,,,,,
They want hot dogs so they go straight to the hot dog van,,,,,1,,,,,
