response,Preference general,Preference specific,Character general,Characer specific,Knowledge of area,Location specific,Disposition other,Situation other,
they really wanted pizza,,,,,,,1,,"wanting to eat hot a pizza doesn't necessarily imply it contrasts with their general preference, so not preference specific? (same as row 115)"
wanted the quicket way to get hot dog,,,,,,1,,,same as line 250
got lost,,,,,2,,1,,
wanted to get hot dog but then changed his mind,,,,,,,1,,
went to the closest place to get food,,,,,,1,,,
was craving pizza more than hot dog,,2,,,,,1,,
he can just see the hotdog spot from where he stands.,,,,,,1,,,
He so sorty that he travles the whole route.,,,1,,,,,,
He chooses the nearest stand.,,,,,,1,,,
"He does not want to hot dogs this time, so he tries the new food.",,1,,,,,,,
He does not like pizza.,1,,,,,,,,
The hotdog stand is closed.,,,,,,,,1,
He passes the pizza stand until he finds the hot dogs stand.,,,,,,,,,this is just a recall of what they did
His favourite food is hotdog.,1,,,,,,,,
He is sporty and wanted to do a lap around the town before getting food,,,1,,,,2,,
Brooklyn doesn't know the area well,,,,,1,,,,
Harper's favourtie food is hot dogs,1,,,,,,,,
Taylor's knows the area well and is sporty,,,1,,1,,,,
Charlie is lazy,,,1,,,,,,
Jesse does not know the area well,,,,,1,,,,
Parker's favourite food is hot dogs,1,,,,,,,,
Adrian doesn't know the area well,,,,,1,,,,
"Beacuse they are sporty, probably wanted to explore and when they saw the hot dog stand they went to it because its their favourite food",2,,1,,,3,1,,
Becasue they know the area well and are sporty they took the longest rout to the pizza stand,,,1,,1,,,,
they know the area well and their favourite food is hot dog so they took the longest rout to the hot dog stand,1,,,,1,,,,
they know the area and are lazy so they went to the clossest stand which is the hotdog stand,,,1,,1,2,,,
"thought there would be a better stand not far by but didnt like the idea of the pizza, kept walking the long way because they dont know the area until they arrived at the hot dong stand",,2,,,2,,1,,
"is sporty so wanted to explore the area, went the way they thought would take longer so ended up at the pizza stand",,,1,,,,2,,
"they dont know the area well so they got lost, didnt feel hungry till they reached the pizza stans but didnt want to walk back just to get a hot dog cause they are lazy",,,3,,1,,2,,
they know the area well so they know the hotdog stand would be alot father and they are lazy to walk so they choose the closer pizza stand,,,2,,1,3,,,
Charlie chose the nearest location because he's lazy.,,,1,,,2,,,
Jesse wanted to explore the area.,,,,,,,1,,
Brooklyn wanted to explore the area.,,,,,,,1,,
Taylor enjoys physical activity.,,,,,,,1,,
Taylor didn't want to eat pizza.,,,,,,,1,,
Drew enjoys physical activity.,,,,,,,1,,
Harper decided that pizza truck is a better option of the two.,,,,,,,1,,
Parker took the shortest path because he's lazy.,,,1,,,2,,,
They get a hot dog because it is their favourite food and they are aware of the hotdog stand.,1,,,,,2,,,
They have seen the pizza stand and thought there may be similar stands nearby that could sell hot dogs,,,,,,2,1,,
he took a walk and found a food truck nearby,,,,,,1,,,
Drew wanted to walk a bit longer as he is sporty,,,1,,,,2,,
he went to the closest truck nearby,,,,,,1,,,
they wanted pizza today instead of a hot dog,,1,,,,,,,
he didnt want to walk and get a hot dog so he went to the nearest food truck,,,,,,2,1,,
he wanted a hotdog and didnt know where you could get one,,,,,2,,1,,does not knowing where to get if = knowledge of area?
changed his mind and wanted pizza instead,,,,,,,1,,
he was hungry and wanted hot dogs,,,,,,,1,,
wandering around a new area and decided to get pizza,,,,,2,,1,,
wanted pizza and changed mind,,,,,,,1,,
walked till he reached the first food place he found,,,,,,1,,,
decided to walk further to see other food options and deciede to get hot dogs,,,,,,,1,,
decided to get pizza instead,,,,,,,1,,
saw the hotdog stand and walked towards it,,,,,,1,,,
He had cravings for the hotdog instead of the pizza,,2,,,,,1,,
"Because he was lazy and still chose to walk further, shows that he dislikes hotdogs",2,,,1,,,,,
likes hotdogs,1,,,,,,,,
Tyler chose the long route because he is sporty,,,1,,,,,,does taking the long/short route imply something about knowledge of area?
he likes hotdogs,1,,,,,,,,
quickest route and they like hotdogs,2,,,,1,,,,
he chose the wrong route because he doesn't know the area well,,,,,1,,,,
"the hotdog stand was nearest to him, and he chose that because he is lazy",,,2,,,1,,,
When walking past the pizza stand there wasnt anything they liked on the menu.,,,,,,,1,,
Due his laziness he went to the closest food option.,,,1,,,2,,,
As theyre sporty they might of wanted to explore the area.,,,1,,,,2,,
The hot dog stand was the only thing they could see.,,,,,,1,,,
They like hot dogs and they know where it is.,1,,,,1,,,,
Chose the longer pathe as they are sporty and like the exercise.,,,1,,,,2,,
Went for a wonder and discovered he doesnt want a hot dog so he went back round for some pizza.,,,,,,,1,,
As they are sporty they may have finished there work out next to the pizza stand.,,,1,,,,,2,
jesse took this chosen path as their favourite food is hot dogs,1,,,,,,,,
brooklyn prefers pizza to hot dogs,1,,,,,,,,preferering x to y = preference specific or general?
charlie prefers hot dogs to pizza,1,,,,,,,,
parker wanted pizza more than hot dogs that day,,1,,,,,,,
taylor knows the hot dog shop is closed today,,,,,,,,1,
"adrian doesnt know there is a hot dog place, and cannot be bothered walking further",,,,,1,,2,,cannot be bothered to walk further-- disposition or situation?
harper wanted a hot dog,,,,,,,1,,same as row 115
"drew knows where both shops are located, and wanted a hot dog",,,,,1,,1,,
Want to walk more for exercise,,,,,,,1,,
he is unfamiliar with the route.,,,,,1,,,,
He wants to have hotdogs.,,,,,,,1,,same as row 115
She wants to have pizza.,,,,,,,1,,same as row 115
He wants hotdogs.,,,,,,,1,,same as row 115
He changed his mind.,,,,,,,1,,
"he is unfamiliar with the route, but still want hotdogs.",,,,,1,,2,,same as row 115
she changed her mind in the middle.,,,,,,,1,,
There were no hot dogs left,,,,,,,,1,
His favorite food is hot dogs,1,,,,,,,,
He is hungry but there were no piza left,,,,,,,2,1,
He wanted to try something different,,1,,,,,,,I don't know if it refers to a different food or what
The first thing he saw was the pizza truck,,,,,,1,,,
His favorite food is hot dogs,1,,,,,,,,
"He wanted to check out if there were any hot dog trucks around the corner, since it is his fovourite",1,,,,2,,2,,
His favourite food is pizza,1,,,,,,,,
Parker went to his favourite food stand which he knew the location of well and was not as far away as parker is lazy,2,,1,,1,,,,
Drew is sporty so wanted to take a longer route,,,1,,,,,,
Harper does not kow the area well so did not take the fastest route,,,,,1,,,,
Jesse doesnt know about the hot dog stand,,,,,1,,,,
brooklyn took the loger route because they are sporty,,,1,,,,,,
taylor is sporty so wated to take a longer route,,,1,,,,2,,
charlie knows the area well so took a short route to the pizza stand,,,,,1,,,,
adrian doesnt know the area well so took a longer route,,,,,1,,,,
He knew the hot dog van was shut.,,,,,,,,1,
They don't know the area well,,,,,1,,,,
He fancied a hot dog and knew the area well.,,1,,,1,,,,
The pizza van was shut,,,,,,,,1,
He was too hungry to explore the area for different foods,,,,,,,1,,is there an implication of lack of knowledge in the area if they want to explore?
The hot dog van was shut,,,,,,,,1,
He wanted some exercise before eating,,,,,,,1,,
He wanted some exercise before eating,,,,,,,1,,
"Adrian doesn't like hot dogs, and got lost walking around the area",1,,,,3,,2,,getting lost as an implication of not knowing the area?
Brooklyn decided to go on a jog and ended up finding the hot dog place.,,,,,,,1,2,are coincidences coded as situation other?
Taylor may have wanted a longer jog so ran past the hot dog place and ended up getting pizza instead.,,,,,,,1,2,
"Parker likes hot dogs, and he was closer to the hot dog place, so was motivated by his laziness and like of hot dogs.",1,,2,,,1,,,
"Jesse didnt know there were hot dogs because they dont know the area well, so chose the option they could see.",,,,,1,2,,,
Drew prefers hot dogs or maybe wanted a longer jog.,1,,,,,,2,,"is preference here general, as there seems to not be an implication of this contrasting with their usual preferences?"
Harper didnt know how to get to the hot dog place so ended up going the long way around.,,,,,1,,,,
Charlie prefers pizza.,1,,,,,,,,
she doesn't know the area well but wanted hot dogs as they're her favourite,1,,,,1,,,,
his favourite food is hot dogs and he wanted some exercise,1,,,,,,2,,
parker wanted pizza and a walk,,1,,,,,1,,
he was hungry and knew the pizza stand was closer,,,,,,2,1,,
Drew prefers hot dogs to pizza,1,,,,,,,,
they prefer hot dogs,1,,,,,,,,same as line 367
brooklyn wanted pizza rather than a hotdog,,1,,,,,,,
adrian thoughts pizza was closest,,,,,,2,1,,
Taylor wanted to exercise,,,,,,,1,,
"Because he knows where the stand is, and hotdogs are his favourite",1,,,,1,,,,
Adrian got lost.,,,,,2,,,1,is getting lost a situational thing or does it reflect lack of knowledge about the area?
simply that he see's a hotdog stand is close,,,,,,1,,,
He likes hotdogs! and maybe is in a rush,1,,,,,,,2,
"Harper doesnt like Pizza, so decided to look for something else",1,,,,,,,,
Jessie fancied a change. Also slightly further away tha hotdog so good for exercise (even though he didnt know),,1,,,2,,3,,good for exercise-- what would that be?
Drew wanted to exercise so took the long route,,,,,,,1,,
They took the longer route as they are sporty,,,1,,,,,,
"Their favourite food is hotdogs, so they went to the hotdogs",1,,,,,,,,
Took the long route as they are sporty and may not like hotdogs,2,,1,,,,,,
initially wanted hotdogs but decided against it,,,,,,,1,,
Doesn't know the area well and so took the shortest route to the pizza that they could already see,,,,,1,2,,,
knew there was pizza there but decided to continue to hotdogs,,,,,,,1,,
don't know the area so took long route to get to hotdogs as they didn't know it was there,,,,,1,,,,
they wanted hotdogs,,,,,,,1,,
