"","subject_id","rt","time_elapsed","prolific_id","cb","study_id","session_id","prob0","prob1","prob2","prob3","scenario","A","B","E","S","answer","comments","rowtype","trialtype"
"11","04blkmpfl2",859,1200746,"6683fb83d24c87e385c4c519",0,"668582e30cf76773d7ac09c4","66858f0b1cb70639f547d754","10%","50%","80%","50%","group",1,0,0,0,"The postdoc did not attend",NA,"stim","c3"
"12","04blkmpfl2",913,1280234,"6683fb83d24c87e385c4c519",1,"668582e30cf76773d7ac09c4","66858f0b1cb70639f547d754","50%","80%","50%","10%","cook",0,1,0,1,"The chef did not complete the main dish",NA,"stim","d2"
"13","1h8woo3055",25426,146159,"668500179f6cbb62526650d0",1,"668582e30cf76773d7ac09c4","66858ff98135c2b50ad6df07","80%","50%","10%","70%","group",0,0,0,1,"The lecturer did not attend",NA,"stim","d1"
"14","1h8woo3055",6571,225333,"668500179f6cbb62526650d0",1,"668582e30cf76773d7ac09c4","66858ff98135c2b50ad6df07","50%","80%","50%","10%","group",1,0,0,0,"The lecturer did not talk about the paper",NA,"stim","c3"
"15","1h8woo3055",7027,272870,"668500179f6cbb62526650d0",0,"668582e30cf76773d7ac09c4","66858ff98135c2b50ad6df07","50%","10%","50%","80%","group",0,1,0,1,"The postdoc did not talk about the paper",NA,"stim","d2"
"16","1h8woo3055",9163,340300,"668500179f6cbb62526650d0",0,"668582e30cf76773d7ac09c4","66858ff98135c2b50ad6df07","50%","10%","50%","80%","cook",1,1,0,0,"The dessert did not impress the panel",NA,"stim","c4"
"17","1h8woo3055",5420,404692,"668500179f6cbb62526650d0",0,"668582e30cf76773d7ac09c4","66858ff98135c2b50ad6df07","10%","70%","80%","50%","cook",0,1,1,1,"The dessert impressed the panel",NA,"stim","d3"
"18","1h8woo3055",9083,454520,"668500179f6cbb62526650d0",0,"668582e30cf76773d7ac09c4","66858ff98135c2b50ad6df07","10%","50%","80%","50%","cook",1,0,0,1,"The chef did not complete the dessert",NA,"stim","d4"
"19","1h8woo3055",4528,506817,"668500179f6cbb62526650d0",1,"668582e30cf76773d7ac09c4","66858ff98135c2b50ad6df07","80%","50%","10%","70%","cook",1,0,1,1,"The main dish impressed the panel",NA,"stim","d5"
"20","1h8woo3055",10760,566867,"668500179f6cbb62526650d0",0,"668582e30cf76773d7ac09c4","66858ff98135c2b50ad6df07","10%","50%","80%","50%","job",1,1,1,1,"The candidate demonstrated skill B",NA,"stim","d7"
"21","1h8woo3055",1365,606720,"668500179f6cbb62526650d0",0,"668582e30cf76773d7ac09c4","66858ff98135c2b50ad6df07","50%","10%","50%","80%","cook",1,1,0,1,"The dessert did not impress the panel",NA,"stim","d6"
"22","1h8woo3055",1287,643322,"668500179f6cbb62526650d0",0,"668582e30cf76773d7ac09c4","66858ff98135c2b50ad6df07","10%","70%","80%","50%","job",0,0,0,0,"The candidate did not have skill B",NA,"stim","c1"
"23","1h8woo3055",904,664144,"668500179f6cbb62526650d0",1,"668582e30cf76773d7ac09c4","66858ff98135c2b50ad6df07","50%","80%","50%","10%","job",0,1,0,0,"The candidate did not have skill A",NA,"stim","c2"
"24","1h8woo3055",780,684629,"668500179f6cbb62526650d0",0,"668582e30cf76773d7ac09c4","66858ff98135c2b50ad6df07","10%","50%","80%","50%","group",1,1,1,0,"The postdoc talked about the paper",NA,"stim","c5"
"25","1j9j1sn5oo",19877.5,149695,"6658b1ff0f6362e1f068dc91",0,"668582e30cf76773d7ac09c4","66858f3750cc0509447f9adc","10%","50%","80%","50%","cook",0,1,1,1,"The chef completed the dessert",NA,"stim","d3"
"26","1j9j1sn5oo",7976.20000000112,196313,"6658b1ff0f6362e1f068dc91",1,"668582e30cf76773d7ac09c4","66858f3750cc0509447f9adc","80%","50%","10%","70%","cook",1,0,1,1,"The chef completed the main dish",NA,"stim","d5"
"27","1j9j1sn5oo",6802.70000000112,250558,"6658b1ff0f6362e1f068dc91",0,"668582e30cf76773d7ac09c4","66858f3750cc0509447f9adc","50%","10%","50%","80%","group",1,1,0,0,"The lecturer did not talk about the paper",NA,"stim","c4"
"28","1j9j1sn5oo",1555.09999999963,284818,"6658b1ff0f6362e1f068dc91",1,"668582e30cf76773d7ac09c4","66858f3750cc0509447f9adc","80%","50%","10%","70%","group",0,0,0,0,"The lecturer did not attend",NA,"stim","c1"
"29","1j9j1sn5oo",7513.19999999925,322729,"6658b1ff0f6362e1f068dc91",1,"668582e30cf76773d7ac09c4","66858f3750cc0509447f9adc","80%","50%","10%","50%","job",1,1,1,0,"The candidate had skill A",NA,"stim","c5"
"30","1j9j1sn5oo",2412.5,375050,"6658b1ff0f6362e1f068dc91",0,"668582e30cf76773d7ac09c4","66858f3750cc0509447f9adc","10%","70%","80%","50%","job",1,1,0,1,"The candidate did not demonstrate skill B",NA,"stim","d6"
"31","1j9j1sn5oo",2125.40000000037,496251,"6658b1ff0f6362e1f068dc91",1,"668582e30cf76773d7ac09c4","66858f3750cc0509447f9adc","80%","50%","10%","70%","group",0,0,0,1,"The lecturer did not attend",NA,"stim","d1"
"32","1j9j1sn5oo",1158.30000000075,539836,"6658b1ff0f6362e1f068dc91",1,"668582e30cf76773d7ac09c4","66858f3750cc0509447f9adc","50%","80%","50%","10%","cook",0,1,0,1,"The dessert did not impress the panel",NA,"stim","d2"
"33","1j9j1sn5oo",4065.90000000037,672810,"6658b1ff0f6362e1f068dc91",0,"668582e30cf76773d7ac09c4","66858f3750cc0509447f9adc","10%","50%","80%","50%","group",1,0,0,0,"The lecturer did not talk about the paper",NA,"stim","c3"
"34","1j9j1sn5oo",1008.40000000037,691990,"6658b1ff0f6362e1f068dc91",0,"668582e30cf76773d7ac09c4","66858f3750cc0509447f9adc","10%","50%","80%","50%","cook",1,0,0,1,"The main dish did not impress the panel",NA,"stim","d4"
"35","1j9j1sn5oo",1176.19999999925,705542,"6658b1ff0f6362e1f068dc91",0,"668582e30cf76773d7ac09c4","66858f3750cc0509447f9adc","50%","10%","50%","80%","cook",1,1,1,1,"The dessert impressed the panel",NA,"stim","d7"
"36","1j9j1sn5oo",2205.59999999963,720789,"6658b1ff0f6362e1f068dc91",1,"668582e30cf76773d7ac09c4","66858f3750cc0509447f9adc","50%","80%","50%","10%","group",0,1,0,0,"The postdoc did not talk about the paper",NA,"stim","c2"
"37","1nc1mtxtfj",14607.3999999985,240484,"6654c29ce8e16acd9c322da9",0,"668582e30cf76773d7ac09c4","6685929e3d9c025d49be4dbe","10%","50%","80%","50%","group",1,0,1,1,"The lecturer talked about the paper",NA,"stim","d5"
"38","1nc1mtxtfj",9223.60000000149,305048,"6654c29ce8e16acd9c322da9",1,"668582e30cf76773d7ac09c4","6685929e3d9c025d49be4dbe","80%","50%","10%","50%","group",1,1,0,1,"The lecturer did not talk about the paper",NA,"stim","d6"
"39","1nc1mtxtfj",13160.3999999985,357263,"6654c29ce8e16acd9c322da9",0,"668582e30cf76773d7ac09c4","6685929e3d9c025d49be4dbe","50%","10%","50%","80%","job",0,1,0,1,"The candidate did not demonstrate skill B",NA,"stim","d2"
"40","1nc1mtxtfj",13184,424876,"6654c29ce8e16acd9c322da9",1,"668582e30cf76773d7ac09c4","6685929e3d9c025d49be4dbe","80%","50%","10%","70%","cook",0,0,0,1,"The chef did not complete the main dish",NA,"stim","d1"
"41","1nc1mtxtfj",9313.40000000596,467670,"6654c29ce8e16acd9c322da9",1,"668582e30cf76773d7ac09c4","6685929e3d9c025d49be4dbe","80%","50%","10%","70%","cook",1,0,0,1,"The main dish did not impress the panel",NA,"stim","d4"
"42","1nc1mtxtfj",9371.5,508218,"6654c29ce8e16acd9c322da9",0,"668582e30cf76773d7ac09c4","6685929e3d9c025d49be4dbe","10%","70%","80%","50%","group",0,1,1,1,"The postdoc talked about the paper",NA,"stim","d3"
"43","1nc1mtxtfj",13349,555599,"6654c29ce8e16acd9c322da9",0,"668582e30cf76773d7ac09c4","6685929e3d9c025d49be4dbe","10%","50%","80%","50%","cook",1,0,0,0,"The main dish did not impress the panel",NA,"stim","c3"
"44","1nc1mtxtfj",12962.5,607860,"6654c29ce8e16acd9c322da9",1,"668582e30cf76773d7ac09c4","6685929e3d9c025d49be4dbe","50%","80%","50%","10%","cook",0,0,0,0,"The main dish did not impress the panel",NA,"stim","c1"
"45","1nc1mtxtfj",17297.599999994,674421,"6654c29ce8e16acd9c322da9",0,"668582e30cf76773d7ac09c4","6685929e3d9c025d49be4dbe","50%","10%","50%","80%","group",1,1,1,0,"The postdoc talked about the paper",NA,"stim","c5"
"46","1nc1mtxtfj",3457.30000000447,713042,"6654c29ce8e16acd9c322da9",1,"668582e30cf76773d7ac09c4","6685929e3d9c025d49be4dbe","50%","80%","50%","10%","cook",0,1,0,0,"The chef did not complete the main dish",NA,"stim","c2"
"47","1nc1mtxtfj",6274.5,748126,"6654c29ce8e16acd9c322da9",0,"668582e30cf76773d7ac09c4","6685929e3d9c025d49be4dbe","50%","10%","50%","80%","cook",1,1,0,0,"The main dish did not impress the panel",NA,"stim","c4"
"48","1nc1mtxtfj",5101.39999999851,777846,"6654c29ce8e16acd9c322da9",0,"668582e30cf76773d7ac09c4","6685929e3d9c025d49be4dbe","10%","70%","80%","50%","group",1,1,1,1,"The lecturer talked about the paper",NA,"stim","d7"
"49","1rvc938bgx",10054,180098,"6641fc772541dfaf9ed5bf70",1,"668582e30cf76773d7ac09c4","668599dd3b7b1a1214b83143","80%","50%","10%","70%","job",1,1,1,0,"The candidate demonstrated skill B",NA,"stim","c5"
"50","1rvc938bgx",13220.3,238198,"6641fc772541dfaf9ed5bf70",0,"668582e30cf76773d7ac09c4","668599dd3b7b1a1214b83143","10%","70%","80%","50%","job",1,0,0,1,"The candidate did not demonstrate skill B",NA,"stim","d4"
"51","1rvc938bgx",6631.20000000019,269746,"6641fc772541dfaf9ed5bf70",1,"668582e30cf76773d7ac09c4","668599dd3b7b1a1214b83143","80%","50%","10%","70%","group",1,1,0,1,"The lecturer did not talk about the paper",NA,"stim","d6"
"52","1rvc938bgx",18193.8999999999,322295,"6641fc772541dfaf9ed5bf70",1,"668582e30cf76773d7ac09c4","668599dd3b7b1a1214b83143","80%","50%","10%","50%","job",0,1,1,1,"The candidate demonstrated skill B",NA,"stim","d3"
"53","1rvc938bgx",11672.8999999999,388852,"6641fc772541dfaf9ed5bf70",0,"668582e30cf76773d7ac09c4","668599dd3b7b1a1214b83143","50%","10%","50%","80%","group",1,1,1,1,"The lecturer talked about the paper",NA,"stim","d7"
"54","1rvc938bgx",10494.1999999997,422853,"6641fc772541dfaf9ed5bf70",0,"668582e30cf76773d7ac09c4","668599dd3b7b1a1214b83143","10%","50%","80%","50%","cook",0,0,0,1,"The chef did not complete the main dish",NA,"stim","d1"
"55","1rvc938bgx",3052.09999999963,462794,"6641fc772541dfaf9ed5bf70",1,"668582e30cf76773d7ac09c4","668599dd3b7b1a1214b83143","50%","80%","50%","10%","cook",0,0,0,0,"The chef did not complete the main dish",NA,"stim","c1"
"56","1rvc938bgx",49400.2999999998,529242,"6641fc772541dfaf9ed5bf70",1,"668582e30cf76773d7ac09c4","668599dd3b7b1a1214b83143","80%","50%","10%","70%","job",1,1,0,0,"The candidate did not demonstrate skill B",NA,"stim","c4"
"57","1rvc938bgx",3543.39999999991,548842,"6641fc772541dfaf9ed5bf70",1,"668582e30cf76773d7ac09c4","668599dd3b7b1a1214b83143","80%","50%","10%","50%","group",0,1,0,1,"The lecturer did not attend",NA,"stim","d2"
"58","1rvc938bgx",1972.60000000009,563960,"6641fc772541dfaf9ed5bf70",0,"668582e30cf76773d7ac09c4","668599dd3b7b1a1214b83143","10%","50%","80%","50%","job",0,1,0,0,"The candidate did not have skill A",NA,"stim","c2"
"59","1rvc938bgx",5265.30000000028,584413,"6641fc772541dfaf9ed5bf70",1,"668582e30cf76773d7ac09c4","668599dd3b7b1a1214b83143","50%","80%","50%","10%","job",1,0,1,1,"The candidate demonstrated skill A",NA,"stim","d5"
"60","1rvc938bgx",10329.7000000002,609485,"6641fc772541dfaf9ed5bf70",0,"668582e30cf76773d7ac09c4","668599dd3b7b1a1214b83143","10%","70%","80%","50%","job",1,0,0,0,"The candidate did not have skill B",NA,"stim","c3"
"61","1t3ulnfryj",27768.7000000477,316083,"5a598f2b8e6259000175f094",1,"668582e30cf76773d7ac09c4","668592d83b3bf66fccb1bd11","80%","50%","10%","50%","cook",0,0,0,0,"The chef did not complete the main dish",NA,"stim","c1"
"62","1t3ulnfryj",12566.8999999762,386760,"5a598f2b8e6259000175f094",1,"668582e30cf76773d7ac09c4","668592d83b3bf66fccb1bd11","80%","50%","10%","70%","group",1,1,1,1,"The postdoc talked about the paper",NA,"stim","d7"
"63","1t3ulnfryj",10103.6000000238,447319,"5a598f2b8e6259000175f094",1,"668582e30cf76773d7ac09c4","668592d83b3bf66fccb1bd11","50%","80%","50%","10%","cook",1,0,0,1,"The chef did not complete the dessert",NA,"stim","d4"
"64","1t3ulnfryj",1722.30000007153,480665,"5a598f2b8e6259000175f094",1,"668582e30cf76773d7ac09c4","668592d83b3bf66fccb1bd11","80%","50%","10%","50%","cook",1,1,1,0,"The main dish impressed the panel",NA,"stim","c5"
"65","1t3ulnfryj",11179.1000000238,519475,"5a598f2b8e6259000175f094",1,"668582e30cf76773d7ac09c4","668592d83b3bf66fccb1bd11","50%","80%","50%","10%","job",0,1,0,0,"The candidate had skill B",NA,"stim","c2"
"66","1t3ulnfryj",5823.5,555350,"5a598f2b8e6259000175f094",1,"668582e30cf76773d7ac09c4","668592d83b3bf66fccb1bd11","50%","80%","50%","10%","group",0,1,0,1,"The lecturer did not attend",NA,"stim","d2"
"67","1t3ulnfryj",10907.1999999285,587103,"5a598f2b8e6259000175f094",1,"668582e30cf76773d7ac09c4","668592d83b3bf66fccb1bd11","80%","50%","10%","70%","cook",0,0,0,1,"The chef did not complete the main dish",NA,"stim","d1"
"68","1t3ulnfryj",1902.10000002384,611512,"5a598f2b8e6259000175f094",0,"668582e30cf76773d7ac09c4","668592d83b3bf66fccb1bd11","10%","50%","80%","50%","job",1,1,0,1,"The candidate did not demonstrate skill B",NA,"stim","d6"
"69","1t3ulnfryj",8827,657888,"5a598f2b8e6259000175f094",1,"668582e30cf76773d7ac09c4","668592d83b3bf66fccb1bd11","80%","50%","10%","70%","group",1,1,0,0,"The postdoc did not talk about the paper",NA,"stim","c4"
"70","1t3ulnfryj",2969.89999997616,688337,"5a598f2b8e6259000175f094",0,"668582e30cf76773d7ac09c4","668592d83b3bf66fccb1bd11","10%","50%","80%","50%","group",0,1,1,1,"The lecturer did not attend",NA,"stim","d3"
"71","1t3ulnfryj",2193.5,712989,"5a598f2b8e6259000175f094",1,"668582e30cf76773d7ac09c4","668592d83b3bf66fccb1bd11","80%","50%","10%","50%","cook",1,0,1,1,"The main dish impressed the panel",NA,"stim","d5"
"72","1t3ulnfryj",2560.5,735932,"5a598f2b8e6259000175f094",0,"668582e30cf76773d7ac09c4","668592d83b3bf66fccb1bd11","10%","50%","80%","50%","job",1,0,0,0,"The candidate did not demonstrate skill A",NA,"stim","c3"
"73","1vcyogm763",12530.8000001907,175944,"665abbcf8c9d25a938989434",0,"668582e30cf76773d7ac09c4","66859115a8cf495bf9f70f3d","10%","70%","80%","50%","group",1,0,0,1,"The lecturer attended",NA,"stim","d4"
"74","1vcyogm763",13513.8000001907,240078,"665abbcf8c9d25a938989434",1,"668582e30cf76773d7ac09c4","66859115a8cf495bf9f70f3d","50%","80%","50%","10%","job",1,1,1,1,"The candidate demonstrated skill B",NA,"stim","d7"
"75","1vcyogm763",6329.5,281710,"665abbcf8c9d25a938989434",1,"668582e30cf76773d7ac09c4","66859115a8cf495bf9f70f3d","50%","80%","50%","10%","job",1,1,1,0,"The candidate demonstrated skill B",NA,"stim","c5"
"76","1vcyogm763",7965.69999980927,330630,"665abbcf8c9d25a938989434",0,"668582e30cf76773d7ac09c4","66859115a8cf495bf9f70f3d","50%","10%","50%","80%","cook",0,1,0,1,"The dessert did not impress the panel",NA,"stim","d2"
"77","1vcyogm763",6680.59999990463,364560,"665abbcf8c9d25a938989434",0,"668582e30cf76773d7ac09c4","66859115a8cf495bf9f70f3d","50%","10%","50%","80%","group",1,0,0,0,"The postdoc attended",NA,"stim","c3"
"78","1vcyogm763",8949.30000019073,403979,"665abbcf8c9d25a938989434",0,"668582e30cf76773d7ac09c4","66859115a8cf495bf9f70f3d","10%","70%","80%","50%","cook",0,0,0,1,"The chef did not complete the dessert",NA,"stim","d1"
"79","1vcyogm763",1197.5,433078,"665abbcf8c9d25a938989434",1,"668582e30cf76773d7ac09c4","66859115a8cf495bf9f70f3d","80%","50%","10%","50%","job",0,1,1,1,"The candidate demonstrated skill B",NA,"stim","d3"
"80","1vcyogm763",3232.09999990463,469728,"665abbcf8c9d25a938989434",0,"668582e30cf76773d7ac09c4","66859115a8cf495bf9f70f3d","10%","70%","80%","50%","cook",0,1,0,0,"The chef did not complete the main dish",NA,"stim","c2"
"81","1vcyogm763",1417,504713,"665abbcf8c9d25a938989434",1,"668582e30cf76773d7ac09c4","66859115a8cf495bf9f70f3d","50%","80%","50%","10%","job",1,0,1,1,"The candidate demonstrated skill A",NA,"stim","d5"
"82","1vcyogm763",1231.90000009537,536561,"665abbcf8c9d25a938989434",1,"668582e30cf76773d7ac09c4","66859115a8cf495bf9f70f3d","80%","50%","10%","50%","job",0,0,0,0,"The candidate did not have skill A",NA,"stim","c1"
"83","1vcyogm763",2397.5,556261,"665abbcf8c9d25a938989434",0,"668582e30cf76773d7ac09c4","66859115a8cf495bf9f70f3d","10%","70%","80%","50%","group",1,1,0,1,"The lecturer did not talk about the paper",NA,"stim","d6"
"84","1vcyogm763",1383.30000019073,582613,"665abbcf8c9d25a938989434",1,"668582e30cf76773d7ac09c4","66859115a8cf495bf9f70f3d","50%","80%","50%","10%","job",1,1,0,0,"The candidate did not demonstrate skill A",NA,"stim","c4"
"85","25wwusqaw5",20919.099999994,175122,"5ea31e2cfe333e274552c8d6",0,"668582e30cf76773d7ac09c4","66858d8a7c866961de0e45ad","10%","70%","80%","50%","job",0,0,0,1,"The candidate did not have skill B",NA,"stim","d1"
"86","25wwusqaw5",6998.70000000298,247746,"5ea31e2cfe333e274552c8d6",0,"668582e30cf76773d7ac09c4","66858d8a7c866961de0e45ad","10%","50%","80%","50%","group",1,0,0,0,"The lecturer did not talk about the paper",NA,"stim","c3"
"87","25wwusqaw5",10574.400000006,292041,"5ea31e2cfe333e274552c8d6",1,"668582e30cf76773d7ac09c4","66858d8a7c866961de0e45ad","80%","50%","10%","50%","job",1,0,1,1,"The candidate had skill A",NA,"stim","d5"
"88","25wwusqaw5",7134.40000000596,320657,"5ea31e2cfe333e274552c8d6",0,"668582e30cf76773d7ac09c4","66858d8a7c866961de0e45ad","10%","70%","80%","50%","job",0,0,0,0,"The candidate did not have skill B",NA,"stim","c1"
"89","25wwusqaw5",7102.79999999702,350145,"5ea31e2cfe333e274552c8d6",1,"668582e30cf76773d7ac09c4","66858d8a7c866961de0e45ad","80%","50%","10%","70%","group",0,1,0,1,"The postdoc did not talk about the paper",NA,"stim","d2"
"90","25wwusqaw5",7302.40000000596,391785,"5ea31e2cfe333e274552c8d6",0,"668582e30cf76773d7ac09c4","66858d8a7c866961de0e45ad","50%","10%","50%","80%","cook",1,1,1,1,"The chef completed the dessert",NA,"stim","d7"
"91","25wwusqaw5",8894.70000000298,424753,"5ea31e2cfe333e274552c8d6",1,"668582e30cf76773d7ac09c4","66858d8a7c866961de0e45ad","50%","80%","50%","10%","job",1,1,0,0,"The candidate did not demonstrate skill A",NA,"stim","c4"
"92","25wwusqaw5",5382.79999999702,455857,"5ea31e2cfe333e274552c8d6",1,"668582e30cf76773d7ac09c4","66858d8a7c866961de0e45ad","50%","80%","50%","10%","cook",1,1,0,1,"The main dish did not impress the panel",NA,"stim","d6"
"93","25wwusqaw5",5846.29999999702,497128,"5ea31e2cfe333e274552c8d6",1,"668582e30cf76773d7ac09c4","66858d8a7c866961de0e45ad","80%","50%","10%","70%","group",0,1,0,0,"The postdoc did not talk about the paper",NA,"stim","c2"
"94","25wwusqaw5",7750.80000001192,527544,"5ea31e2cfe333e274552c8d6",0,"668582e30cf76773d7ac09c4","66858d8a7c866961de0e45ad","10%","50%","80%","50%","cook",1,0,0,1,"The chef did not complete the dessert",NA,"stim","d4"
"95","25wwusqaw5",1791.29999999702,555688,"5ea31e2cfe333e274552c8d6",1,"668582e30cf76773d7ac09c4","66858d8a7c866961de0e45ad","80%","50%","10%","50%","group",0,1,1,1,"The postdoc talked about the paper",NA,"stim","d3"
"96","25wwusqaw5",5638.79999999702,577840,"5ea31e2cfe333e274552c8d6",1,"668582e30cf76773d7ac09c4","66858d8a7c866961de0e45ad","80%","50%","10%","70%","group",1,1,1,0,"The lecturer attended",NA,"stim","c5"
"97","26n2v9lxvr",42411.6000000001,427517,"5fd663588215d7567e027d5b",1,"668582e30cf76773d7ac09c4","668590f8af6e86ecd7ae8626","80%","50%","10%","70%","cook",1,0,1,1,"The chef completed the main dish",NA,"stim","d5"
"98","26n2v9lxvr",34875.6000000006,532532,"5fd663588215d7567e027d5b",1,"668582e30cf76773d7ac09c4","668590f8af6e86ecd7ae8626","80%","50%","10%","70%","group",1,0,0,0,"The lecturer did not talk about the paper",NA,"stim","c3"
"99","26n2v9lxvr",43980.2000000002,629420,"5fd663588215d7567e027d5b",1,"668582e30cf76773d7ac09c4","668590f8af6e86ecd7ae8626","80%","50%","10%","70%","job",0,1,0,0,"The candidate did not demonstrate skill B",NA,"stim","c2"
"100","26n2v9lxvr",7123.80000000075,687916,"5fd663588215d7567e027d5b",0,"668582e30cf76773d7ac09c4","668590f8af6e86ecd7ae8626","10%","50%","80%","50%","group",0,1,0,1,"The postdoc did not talk about the paper",NA,"stim","d2"
"101","26n2v9lxvr",23187.2000000002,740349,"5fd663588215d7567e027d5b",1,"668582e30cf76773d7ac09c4","668590f8af6e86ecd7ae8626","80%","50%","10%","50%","group",0,0,0,0,"The lecturer did not attend",NA,"stim","c1"
"102","26n2v9lxvr",20756,804364,"5fd663588215d7567e027d5b",0,"668582e30cf76773d7ac09c4","668590f8af6e86ecd7ae8626","50%","10%","50%","80%","cook",1,0,0,1,"The chef did not complete the dessert",NA,"stim","d4"
"103","26n2v9lxvr",11108,865349,"5fd663588215d7567e027d5b",0,"668582e30cf76773d7ac09c4","668590f8af6e86ecd7ae8626","10%","50%","80%","50%","job",1,1,0,0,"The candidate did not demonstrate skill B",NA,"stim","c4"
"104","26n2v9lxvr",10444.3000000007,921181,"5fd663588215d7567e027d5b",1,"668582e30cf76773d7ac09c4","668590f8af6e86ecd7ae8626","80%","50%","10%","50%","cook",1,1,0,1,"The main dish did not impress the panel",NA,"stim","d6"
"105","26n2v9lxvr",18147.9000000004,977565,"5fd663588215d7567e027d5b",0,"668582e30cf76773d7ac09c4","668590f8af6e86ecd7ae8626","10%","50%","80%","50%","job",1,1,1,0,"The candidate demonstrated skill B",NA,"stim","c5"
"106","26n2v9lxvr",10500.4000000004,1018100,"5fd663588215d7567e027d5b",1,"668582e30cf76773d7ac09c4","668590f8af6e86ecd7ae8626","80%","50%","10%","50%","group",1,1,1,1,"The lecturer talked about the paper",NA,"stim","d7"
"107","26n2v9lxvr",11516,1052388,"5fd663588215d7567e027d5b",1,"668582e30cf76773d7ac09c4","668590f8af6e86ecd7ae8626","50%","80%","50%","10%","group",0,1,1,1,"The postdoc talked about the paper",NA,"stim","d3"
"108","26n2v9lxvr",23627.2999999998,1094236,"5fd663588215d7567e027d5b",0,"668582e30cf76773d7ac09c4","668590f8af6e86ecd7ae8626","10%","70%","80%","50%","cook",0,0,0,1,"The chef did not complete the dessert",NA,"stim","d1"
"109","27kggoq9fn",61821.0999999046,492698,"5ac22f45436f550001ffbad2",0,"668582e30cf76773d7ac09c4","66858e51fe184ba09e7015b1","10%","50%","80%","50%","job",0,1,1,1,"The candidate demonstrated skill B",NA,"stim","d3"
"110","27kggoq9fn",36161.0999999046,641932,"5ac22f45436f550001ffbad2",1,"668582e30cf76773d7ac09c4","66858e51fe184ba09e7015b1","50%","80%","50%","10%","cook",1,1,0,0,"The dessert did not impress the panel",NA,"stim","c4"
"111","27kggoq9fn",29651,777378,"5ac22f45436f550001ffbad2",0,"668582e30cf76773d7ac09c4","66858e51fe184ba09e7015b1","10%","70%","80%","50%","job",0,0,0,1,"The candidate did not have skill A",NA,"stim","d1"
"112","27kggoq9fn",33655.1999998093,963536,"5ac22f45436f550001ffbad2",1,"668582e30cf76773d7ac09c4","66858e51fe184ba09e7015b1","80%","50%","10%","70%","cook",1,0,0,0,"The chef did not complete the dessert",NA,"stim","c3"
"113","27kggoq9fn",33866,1050566,"5ac22f45436f550001ffbad2",0,"668582e30cf76773d7ac09c4","66858e51fe184ba09e7015b1","10%","50%","80%","50%","cook",1,1,0,1,"The main dish did not impress the panel",NA,"stim","d6"
"114","27kggoq9fn",22497.2999999523,1150310,"5ac22f45436f550001ffbad2",0,"668582e30cf76773d7ac09c4","66858e51fe184ba09e7015b1","50%","10%","50%","80%","cook",0,1,0,0,"The chef did not complete the main dish",NA,"stim","c2"
