"","mindsCode","tag","response","index","digit1","digit2","digit3","digit4","digit5","digit6","X","left","right","condObs"
"21","M440728","t101001","They wanted to go for a long walk before eating.",23,1,0,1,0,0,1,"They wanted to go for a long walk before eating. _ Cu=1","They wanted to go for a long walk before eating.","Cu=1","1010"
"22","M440728","t110111","Wanted to check what the pizza van was offering before getting hot dogs as usual.",24,1,1,0,1,1,1,"Wanted to check what the pizza van was offering before getting hot dogs as usual. _ Ku=1","Wanted to check what the pizza van was offering before getting hot dogs as usual.","Ku=1","1101"
"23","M481805","t010111","Charlie wanted to get some exercise in because he know he is generally lazy",25,0,1,0,1,1,1,"Charlie wanted to get some exercise in because he knows he is generally lazy _ Cu=1","Charlie wanted to get some exercise in because he knows he is generally lazy","Cu=1","0101"
"24","M481805","t001101","Brooklyn wanted pizza and kept walking until he found it.",26,0,0,1,1,0,1,"Brooklyn wanted pizza and kept walking until he found it. _ Pu=0","Brooklyn wanted pizza and kept walking until he found it.","Pu=0","0011"
"25","M481805","t000000","Saw the pizza stand was close and went since Adrian is lazy",27,0,0,0,0,0,0,"Saw the pizza stand was close and went since Adrian is lazy _ C=0","Saw the pizza stand was close and went since Adrian is lazy","C=0","0000"
"26","M481805","t111100","Taylor wanted to mix it up and have pizza instead",28,1,1,1,1,0,0,"Taylor wanted to mix it up and have pizza instead _ Pu=0","Taylor wanted to mix it up and have pizza instead","Pu=0","1111"
"27","M481805","t011110","Drew wanted hot dogs.",30,0,1,1,1,1,0,"Drew wanted hot dogs. _ Pu=1","Drew wanted hot dogs.","Pu=1","0111"
"28","M481805","t100010","Didn't fancy pizza so walked the other way hoping something else would pop up",31,1,0,0,0,1,0,"Didn't fancy pizza so walked the other way hoping something else would pop up _ Pu=0","Didn't fancy pizza so walked the other way hoping something else would pop up","Pu=0","1000"
"29","M669519","t011010","He knows the area well",33,0,1,1,0,1,0,"He knows the area well _ K=1","He knows the area well","K=1","0110"
"30","M669519","t001001","he is sporty and wanted to walk all the way around to see what was there",34,0,0,1,0,0,1,"he is sporty and wanted to walk all the way around to see what was there _ C=1","he is sporty and wanted to walk all the way around to see what was there","C=1","0010"
"31","M669519","t111000","they wanted to have something different to eat",35,1,1,1,0,0,0,"they wanted to have something different to eat _ Pu=0","they wanted to have something different to eat","Pu=0","1110"
"32","M669519","t110101","they did not fancy a hotdog today so carried on walking",36,1,1,0,1,0,1,"they did not fancy a hotdog today so carried on walking _ Pu=0","they did not fancy a hotdog today so carried on walking","Pu=0","1101"
"33","M669519","t000100","stopped at the first place he came across",37,0,0,0,1,0,0,"stopped at the first place he came across _ C=0","stopped at the first place he came across","C=0","0001"
"34","M669519","t010011","He decided to have a longer walk for achange",38,0,1,0,0,1,1,"He decided to have a longer walk for a change _ Cu=1","He decided to have a longer walk for a change","Cu=1","0100"
"35","M669519","t100110","he is lazy and prefers hotdogs",39,1,0,0,1,1,0,"he is lazy and prefers hotdogs _ P=1","he is lazy and prefers hotdogs","P=1","1001"
"36","M669519","t101111","they are sporty and dont know the area well so kept on walking",40,1,0,1,1,1,1,"they are sporty and don't know the area well so kept on walking _ C=1","they are sporty and don't know the area well so kept on walking","C=1","1011"
"37","M091317","t000101","Adrian took this path because they dont know the area well",41,0,0,0,1,0,1,"Adrian took this path because they don't know the area well _ K=0","Adrian took this path because they don't know the area well","K=0","0001"
"38","M091317","t111001","Taylor took this path because they are sporty",45,1,1,1,0,0,1,"Taylor took this path because they are sporty _ C=1","Taylor took this path because they are sporty","C=1","1110"
"39","M091317","t100111","Harper took this path because their favorite food is hot dogs",46,1,0,0,1,1,1,"Harper took this path because their favorite food is hot dogs _ P=1","Harper took this path because their favorite food is hot dogs","P=1","1001"
"40","M091317","t110110","Parker took this path because they know the area well",47,1,1,0,1,1,0,"Parker took this path because they know the area well _ K=1","Parker took this path because they know the area well","K=1","1101"
"41","M091317","t010100","Charlie took this path because they know the area well",48,0,1,0,1,0,0,"Charlie took this path because they know the area well _ K=1","Charlie took this path because they know the area well","K=1","0101"
"42","M078144","t000110","he goes to the hot dog stand as he is lazy and doesn't want to walk any further to investigate",49,0,0,0,1,1,0,"he goes to the hot dog stand as he is lazy and doesn't want to walk any further to investigate _ C=0","he goes to the hot dog stand as he is lazy and doesn't want to walk any further to investigate","C=0","0001"
"43","M078144","t100000","He goes to the pizza stand as he is lazy",50,1,0,0,0,0,0,"He goes to the pizza stand as he is lazy _ C=0","He goes to the pizza stand as he is lazy","C=0","1000"
"44","M078144","t101001","Jesse decided that she wan't in the mood for hot dogs today.",51,1,0,1,0,0,1,"Jesse decided that she wasn't in the mood for hot dogs today. _ Pu=0","Jesse decided that she wasn't in the mood for hot dogs today.","Pu=0","1010"
"45","M078144","t110111","Parker definitely didn't want pizza but needed the walk",52,1,1,0,1,1,1,"Parker definitely didn't want pizza but needed the walk _ Pu=1","Parker definitely didn't want pizza but needed the walk","Pu=1","1101"
"46","M078144","t111010","he wanted hot dogs so took the direct route as he was hungry and had been out running already today.",53,1,1,1,0,1,0,"he wanted hot dogs so took the direct route as he was hungry and had been out running already today. _ Pu=1","he wanted hot dogs so took the direct route as he was hungry and had been out running already today.","Pu=1","1110"
"47","M078144","t001011","Brooklyn didn't want pizza so continued on her route and decided to have hot dog when she discovered the stand.",54,0,0,1,0,1,1,"Brooklyn didn't want pizza so continued on her route and decided to have hot dog when she discovered the stand. _ Pu=1","Brooklyn didn't want pizza so continued on her route and decided to have hot dog when she discovered the stand.","Pu=1","0010"
"48","M078144","t011100","he know he wanted to buy pizza",55,0,1,1,1,0,0,"he know he wanted to buy pizza _ Pu=0","he know he wanted to buy pizza","Pu=0","0111"
"49","M078144","t010101","He thought he wanted hot dogs but when he reached the stand decided he wanted pizza instead.",56,0,1,0,1,0,1,"He thought he wanted hot dogs but when he reached the stand decided he wanted pizza instead. _ Su=0","He thought he wanted hot dogs but when he reached the stand decided he wanted pizza instead.","Su=0","0101"
"50","M043484","t000001","They were looking for pizza and didn't know the area well",57,0,0,0,0,0,1,"They were looking for pizza and didn't know the area well _ Pu=0","They were looking for pizza and didn't know the area well","Pu=0","0000"
"51","M043484","t010000","Charlie wanted pizza and didn't want to walk far",58,0,1,0,0,0,0,"Charlie wanted pizza and didn't want to walk far _ Pu=0","Charlie wanted pizza and didn't want to walk far","Pu=0","0100"
"52","M043484","t111101","Taylor wanted more exercise today",59,1,1,1,1,0,1,"Taylor wanted more exercise today _ Cu=1","Taylor wanted more exercise today","Cu=1","1111"
"53","M043484","t101100","Jesse didn't know where the hot dog stand was so stopped for pizza",60,1,0,1,1,0,0,"Jesse didn't know where the hot dog stand was so stopped for pizza _ K=0","Jesse didn't know where the hot dog stand was so stopped for pizza","K=0","1011"
"54","M043484","t011111","Drew wanted exercise before getting hot dogs",62,0,1,1,1,1,1,"Drew wanted exercise before getting hot dogs _ Cu=1","Drew wanted exercise before getting hot dogs","Cu=1","0111"
"55","M043484","t100011","Harper didn't know the quickest route to take",63,1,0,0,0,1,1,"Harper didn't know the quickest route to take _ K=0","Harper didn't know the quickest route to take","K=0","1000"
"56","M043484","t001110","Brookly decided on hot dogs when they saw the stand",64,0,0,1,1,1,0,"Brooklyn decided on hot dogs when they saw the stand _ S=1","Brooklyn decided on hot dogs when they saw the stand","S=1","0011"
"57","M541462","t111111","Taylor took the long route because he wanted to get some exercise.",65,1,1,1,1,1,1,"Taylor took the long route because he wanted to get some exercise. _ Cu=1","Taylor took the long route because he wanted to get some exercise.","Cu=1","1111"
"58","M541462","t001000","Brooklyn choose to go to the Pizza van as it was the only one they could see and they didn't know the area.",66,0,0,1,0,0,0,"Brooklyn chose to go to the Pizza van as it was the only one they could see and they didn't know the area. _ K=0","Brooklyn chose to go to the Pizza van as it was the only one they could see and they didn't know the area.","K=0","0010"
"59","M541462","t000011","Adrian does not like pizza, and so despite being lazy he continued to walk until he found the other option.",67,0,0,0,0,1,1,"Adrian does not like pizza, and so despite being lazy he continued to walk until he found the other option. _ P=1","Adrian does not like pizza, and so despite being lazy he continued to walk until he found the other option.","P=1","0000"
"60","M541462","t101110","Jesse could see their favourite food van and so went directly to it.",68,1,0,1,1,1,0,"Jesse could see their favourite food van and so went directly to it. _ S=1","Jesse could see their favourite food van and so went directly to it.","S=1","1011"
"61","M541462","t110100","Parker thought the Hot Dog van he could see was too far away and decided to see if the hot dog van was closer.",69,1,1,0,1,0,0,"Parker thought the Hot Dog van he could see was too far away and decided to see if the hot dog van was closer. _ Unclear","Parker thought the Hot Dog van he could see was too far away and decided to see if the hot dog van was closer.","Unclear","1101"
"62","M541462","t011001","Being sporty, Drew decided to go the long way round to get to the pizza van.",70,0,1,1,0,0,1,"Being sporty, Drew decided to go the long way round to get to the pizza van. _ C=1","Being sporty, Drew decided to go the long way round to get to the pizza van.","C=1","0110"
"63","M541462","t100101","Haper though they should do some exercise that day as they felt guilty about being lazy.",71,1,0,0,1,0,1,"Harper thought they should do some exercise that day as they felt guilty about being lazy. _ Cu=1","Harper thought they should do some exercise that day as they felt guilty about being lazy.","Cu=1","1001"
"64","M058012","t100100","They thought there would be a closer food vendor.",73,1,0,0,1,0,0,"They thought there would be a closer food vendor. _ Ku=1","They thought there would be a closer food vendor.","Ku=1","1001"
"65","M058012","t101101","The hot dog vendor was no longer selling hot dogs.",74,1,0,1,1,0,1,"The hot dog vendor was no longer selling hot dogs. _ Su=0","The hot dog vendor was no longer selling hot dogs.","Su=0","1011"
"66","M058012","t110011","They were intentionally wasting time.",75,1,1,0,0,1,1,"They were intentionally wasting time. _ Unclear","They were intentionally wasting time.","Unclear","1100"
"67","M058012","t000010","Pizza didn't appeal to them so they looked for alternatives.",76,0,0,0,0,1,0,"Pizza didn't appeal to them so they looked for alternatives. _ Pu=1","Pizza didn't appeal to them so they looked for alternatives.","Pu=1","0000"
"68","M058012","t001111","They looked for alternatives before choosing.",77,0,0,1,1,1,1,"They looked for alternatives before choosing. _ Ku=1","They looked for alternatives before choosing.","Ku=1","0011"
"69","M058012","t010001","They didn't want to go back the same way after trying the hot dog vendor but seeing that they were no longer selling hot dogs.",78,0,1,0,0,0,1,"They didn't want to go back the same way after trying the hot dog vendor but seeing that they were no longer selling hot dogs. _ Su=0","They didn't want to go back the same way after trying the hot dog vendor but seeing that they were no longer selling hot dogs.","Su=0","0100"
"70","M058012","t011000","They went to the most convenient vendor.",80,0,1,1,0,0,0,"They went to the most convenient vendor. _ C=0","They went to the most convenient vendor.","C=0","0110"
"71","M064601","t110100","Parker wanted a change in food choices.",81,1,1,0,1,0,0,"Parker wanted a change in food choices. _ Pu=0","Parker wanted a change in food choices.","Pu=0","1101"
"72","M064601","t011001","Drew is sporty and wants more exercise.",83,0,1,1,0,0,1,"Drew is sporty and wants more exercise. _ C=1","Drew is sporty and wants more exercise.","C=1","0110"
"73","M064601","t100101","Harper does not know the area well and got lost.",86,1,0,0,1,0,1,"Harper does not know the area well and got lost. _ K=0","Harper does not know the area well and got lost.","K=0","1001"
"74","M064601","t010010","Charlie knows the area well and wanted hot dogs.",87,0,1,0,0,1,0,"Charlie knows the area well and wanted hot dogs. _ K=1","Charlie knows the area well and wanted hot dogs.","K=1","0100"
"75","M548118","t100010","Harper wanted his favourite food so went further afield as that is what he wanted most.",89,1,0,0,0,1,0,"Harper wanted his favourite food so went further afield as that is what he wanted most. _ P=1","Harper wanted his favourite food so went further afield as that is what he wanted most.","P=1","1000"
"76","M548118","t110001","They wanted to go for a walk before eating but were too lazy at the end of the walk to go that bit further to go back to the hot dog stand",90,1,1,0,0,0,1,"They wanted to go for a walk before eating but were too lazy at the end of the walk to go that bit further to go back to the hot dog stand _ C=0","They wanted to go for a walk before eating but were too lazy at the end of the walk to go that bit further to go back to the hot dog stand","C=0","1100"
"77","M548118","t011110","He had already done his exercise and merely wanted to get some tea so knew where to go to get the food he wanted quickest",92,0,1,1,1,1,0,"He had already done his exercise and merely wanted to get some tea so knew where to go to get the food he wanted quickest _ K=1","He had already done his exercise and merely wanted to get some tea so knew where to go to get the food he wanted quickest","K=1","0111"
"78","M548118","t010111","Charlie changed his mind after seeing the pizza place and decided he would rather have a hot dog",93,0,1,0,1,1,1,"Charlie changed his mind after seeing the pizza place and decided he would rather have a hot dog _ Su=1","Charlie changed his mind after seeing the pizza place and decided he would rather have a hot dog","Su=1","0101"
"79","M548118","t111100","Taylor didn't fancy hot dogs tonight",94,1,1,1,1,0,0,"Taylor didn't fancy hot dogs tonight _ Pu=0","Taylor didn't fancy hot dogs tonight","Pu=0","1111"
"80","M548118","t000000","Adrian just ate the first thing he found",95,0,0,0,0,0,0,"Adrian just ate the first thing he found _ C=0","Adrian just ate the first thing he found","C=0","0000"
"81","M548118","t101011","Jesse thought they would go for a walk even after seeing the pizza place to see if there were any other options to eat. They didn't mind walking further to see what else there was.",96,1,0,1,0,1,1,"Jesse thought they would go for a walk even after seeing the pizza place to see if there were any other options to eat. They didn't mind walking further to see what else there was. _ Ku=1","Jesse thought they would go for a walk even after seeing the pizza place to see if there were any other options to eat. They didn't mind walking further to see what else there was.","Ku=1","1010"
"82","M001177","t111011","Taylor wanted to take the long route to the hot dog stall because they are sporty and fancied a run.",97,1,1,1,0,1,1,"Taylor wanted to take the long route to the hot dog stall because they are sporty and fancied a run. _ C=1","Taylor wanted to take the long route to the hot dog stall because they are sporty and fancied a run.","C=1","1110"
"83","M001177","t000111","Adrian wanted to see if there were other food stalls, but doesn't like pizza.",98,0,0,0,1,1,1,"Adrian wanted to see if there were other food stalls, but doesn't like pizza. _ P=1","Adrian wanted to see if there were other food stalls, but doesn't like pizza.","P=1","0001"
"84","M001177","t011101","Drew fancied a longer run to the food truck as he is sporty.",99,0,1,1,1,0,1,"Drew fancied a longer run to the food truck as he is sporty. _ C=1","Drew fancied a longer run to the food truck as he is sporty.","C=1","0111"
"85","M001177","t100001","Harper fancied a change from hot dogs.",100,1,0,0,0,0,1,"Harper fancied a change from hot dogs. _ Pu=0","Harper fancied a change from hot dogs.","Pu=0","1000"
"86","M001177","t110000","Parker went for the closest food stall because he is lazy.",101,1,1,0,0,0,0,"Parker went for the closest food stall because he is lazy. _ C=0","Parker went for the closest food stall because he is lazy.","C=0","1100"
"87","M001177","t101010","Jesse set out looking for the hot dog stall and got lucky by taking the shortest route.",102,1,0,1,0,1,0,"Jesse set out looking for the hot dog stall and got lucky by taking the shortest route. _ Pu=1","Jesse set out looking for the hot dog stall and got lucky by taking the shortest route.","Pu=1","1010"
"88","M740010","t111111","that he doesnt like pizza at all",105,1,1,1,1,1,1,"that he doesn't like pizza at all _ P=1","that he doesn't like pizza at all","P=1","1111"
"89","M740010","t000011","that he was really hungry by the time he got to the hot dog stand,",106,0,0,0,0,1,1,"that he was really hungry by the time he got to the hot dog stand _ Su=1","that he was really hungry by the time he got to the hot dog stand","Su=1","0000"
"90","M740010","t001000","that he sight of the pizza stand piqued his appetite",107,0,0,1,0,0,0,"that the sight of the pizza stand piqued his appetite _ S=0","that the sight of the pizza stand piqued his appetite","S=0","0010"
"91","M740010","t110100","that he quite likes pizza aswell",108,1,1,0,1,0,0,"that he quite likes pizza as well _ P=0","that he quite likes pizza as well","P=0","1101"
"92","M740010","t010010","that he was hungry at the time and doesnt mind at the least hotdogs",109,0,1,0,0,1,0,"that he was hungry at the time and doesn't mind at the least hotdogs _ Su=1","that he was hungry at the time and doesn't mind at the least hotdogs","Su=1","0100"
"93","M740010","t101110","that she spottted the hotdog stand",110,1,0,1,1,1,0,"that she spotted the hotdog stand _ S=1","that she spotted the hotdog stand","S=1","1011"
"94","M740010","t100101","that he wasnt hungry when he passed the hot dog stand",111,1,0,0,1,0,1,"that he wasn't hungry when he passed the hot dog stand _ Su=0","that he wasn't hungry when he passed the hot dog stand","Su=0","1001"
"95","M655629","t000101","There was no thought put into it",121,0,0,0,1,0,1,"There was no thought put into it _ Unclear","There was no thought put into it","Unclear","0001"
"96","M655629","t100111","stupidity",122,1,0,0,1,1,1,"stupidity _ Unclear","stupidity","Unclear","1001"
"97","M655629","t110110","saw the hotdog van",123,1,1,0,1,1,0,"saw the hotdog van _ S=1","saw the hotdog van","S=1","1101"
"98","M655629","t101000","must have been really hungry, went to closest place",124,1,0,1,0,0,0,"must have been really hungry, went to closest place _ Su=1","must have been really hungry, went to closest place","Su=1","1010"
"99","M655629","t111001","went for a run as is sporty and decided on pizza for a change.",125,1,1,1,0,0,1,"went for a run as is sporty and decided on pizza for a change. _ C=1","went for a run as is sporty and decided on pizza for a change.","C=1","1110"
"100","M655629","t011011","is sporty,knows area,took longest route to hotdog stand.",126,0,1,1,0,1,1,"is sporty, knows area, took longest route to hotdog stand. _ C=1","is sporty, knows area, took longest route to hotdog stand.","C=1","0110"
"101","M655629","t001010","did not fancy pizza",127,0,0,1,0,1,0,"did not fancy pizza _ Pu=0","did not fancy pizza","Pu=0","0010"
"102","M655629","t010100","wanted pizza and took quickest route as lazy",128,0,1,0,1,0,0,"wanted pizza and took quickest route as lazy _ Pu=0","wanted pizza and took quickest route as lazy","Pu=0","0101"
"103","M909198","t001100","They go just for a walk and did not know the pizza place is around the corner.",130,0,0,1,1,0,0,"They go just for a walk and did not know the pizza place is around the corner. _ K=0","They go just for a walk and did not know the pizza place is around the corner.","K=0","0011"
"104","M909198","t111011","They went to the hot dogs place as its their favourite.",131,1,1,1,0,1,1,"They went to the hot dogs place as its their favourite. _ P=1","They went to the hot dogs place as its their favourite.","P=1","1110"
"105","M909198","t011101","They wanted pizza and walked to get it.",132,0,1,1,1,0,1,"They wanted pizza and walked to get it. _ Pu=0","They wanted pizza and walked to get it.","Pu=0","0111"
"106","M909198","t000111","They had no idea where they were going and found the hotdog place.",134,0,0,0,1,1,1,"They had no idea where they were going and found the hotdog place. _ K=0","They had no idea where they were going and found the hotdog place.","K=0","0001"
"107","M909198","t101010","They went for a walk and found their favourite place.",136,1,0,1,0,1,0,"They went for a walk and found their favourite place. _ Cu=1","They went for a walk and found their favourite place.","Cu=1","1010"
"108","M785342","t100110","As they are lazy so have chosen shortest route",137,1,0,0,1,1,0,"As they are lazy so have chosen shortest route _ C=0","As they are lazy so have chosen shortest route","C=0","1001"
"109","M785342","t000100","As he doesnt know the area well",138,0,0,0,1,0,0,"As he doesnt know the area well _ K=0","As he doesnt know the area well","K=0","0001"
"110","M785342","t010011","because he likes hot dogs",139,0,1,0,0,1,1,"because he likes hot dogs _ P=1","because he likes hot dogs","P=1","0100"
"111","M785342","t011010","knows the area well and likely prefers hot dogs",140,0,1,1,0,1,0,"knows the area well and likely prefers hot dogs _ K=1","knows the area well and likely prefers hot dogs","K=1","0110"
"112","M785342","t101111","favourite food is hot dogs",143,1,0,1,1,1,1,"favourite food is hot dogs _ P=1","favourite food is hot dogs","P=1","1011"
"113","M785342","t111000","because they know the area well and what else is there",144,1,1,1,0,0,0,"because they know the area well and what else is there _ K=1","because they know the area well and what else is there","K=1","1110"
"114","M020165","t111100","They go to the pizza stand because it's their favourite",145,1,1,1,1,0,0,"They go to the pizza stand because it's their favourite _ P=0","They go to the pizza stand because it's their favourite","P=0","1111"
"115","M020165","t000000","Adrian goes to the pizza stand because it's near and he's lazy.",146,0,0,0,0,0,0,"Adrian goes to the pizza stand because it's near and he's lazy. _ C=0","Adrian goes to the pizza stand because it's near and he's lazy.","C=0","0000"
"116","M020165","t101011","They don't know the area well enough to know there is a shorter route.",148,1,0,1,0,1,1,"They don't know the area well enough to know there is a shorter route. _ K=0","They don't know the area well enough to know there is a shorter route.","K=0","1010"
"117","M020165","t011110","They go to the hot dog stand because it's their favourite",149,0,1,1,1,1,0,"They go to the hot dog stand because it's their favourite _ P=1","They go to the hot dog stand because it's their favourite","P=1","0111"
"118","M020165","t001101","They go to the pizza stand because it's their favourite and are sporty.",150,0,0,1,1,0,1,"They go to the pizza stand because it's their favourite and are sporty. _ P=0","They go to the pizza stand because it's their favourite and are sporty.","P=0","0011"
"119","M020165","t010111","Charlie is trying to stop being lazy.",151,0,1,0,1,1,1,"Charlie is trying to stop being lazy. _ Cu=1","Charlie is trying to stop being lazy.","Cu=1","0101"
"120","M020165","t100010","They go to the hot dog stand because it's their favourite.",152,1,0,0,0,1,0,"They go to the hot dog stand because it's their favourite. _ P=1","They go to the hot dog stand because it's their favourite.","P=1","1000"
"121","M381415","t011100","Drew likes Pizza best and knows where the Pizza van is",153,0,1,1,1,0,0,"Drew likes Pizza best and knows where the Pizza van is _ P=0","Drew likes Pizza best and knows where the Pizza van is","P=0","0111"
"122","M381415","t111010","Taylor's favourite is Hot Dogs and they know where the van is",154,1,1,1,0,1,0,"Taylor's favourite is Hot Dogs and they know where the van is _ P=1","Taylor's favourite is Hot Dogs and they know where the van is","P=1","1110"
"123","M381415","t100000","Harper is hungry and decides to have pizza as they van see the Pizza van.",155,1,0,0,0,0,0,"Harper is hungry and decides to have pizza as they can see the Pizza van. _ S=0","Harper is hungry and decides to have pizza as they can see the Pizza van.","S=0","1000"
"124","M381415","t101001","Jesse is getting some exercise, get hungry and decides to get some pizza even though hot dogs are their favourite.",156,1,0,1,0,0,1,"Jesse is getting some exercise, gets hungry and decides to get some pizza even though hot dogs are their favourite. _ Su=1","Jesse is getting some exercise, gets hungry and decides to get some pizza even though hot dogs are their favourite.","Su=1","1010"
"125","M381415","t110111","Parker takes the long route to the hot dog van even though they are lazy - they have turned over a new leaf and decided to get some extra exercise",157,1,1,0,1,1,1,"Parker takes the long route to the hot dog van even though they are lazy - they have turned over a new leaf and decided to get some extra exercise _ Cu=1","Parker takes the long route to the hot dog van even though they are lazy - they have turned over a new leaf and decided to get some extra exercise","Cu=1","1101"
"126","M381415","t010101","Charlie decides to get a hot dog but changes his mind and goes to the pizza van instead",158,0,1,0,1,0,1,"Charlie decides to get a hot dog but changes his mind and goes to the pizza van instead _ Pu=0","Charlie decides to get a hot dog but changes his mind and goes to the pizza van instead","Pu=0","0101"
"127","M381415","t000110","Adrian is hungry and sees a hot dog van so decides to get a hot dog",159,0,0,0,1,1,0,"Adrian is hungry and sees a hot dog van so decides to get a hot dog _ Su=1","Adrian is hungry and sees a hot dog van so decides to get a hot dog","Su=1","0001"
"128","M381415","t001011","Brooklyn is taking an extended walk for exercise and sees a hot dog van and decides to get a hot dog",160,0,0,1,0,1,1,"Brooklyn is taking an extended walk for exercise and sees a hot dog van and decides to get a hot dog _ Cu=1","Brooklyn is taking an extended walk for exercise and sees a hot dog van and decides to get a hot dog","Cu=1","0010"
"129","M515545","t100011","He doesn't know the hot dog stand is at the corner",161,1,0,0,0,1,1,"He doesn't know the hot dog stand is at the corner _ K=0","He doesn't know the hot dog stand is at the corner","K=0","1000"
"130","M515545","t011111","He wanted to take the long route because he is sporty",162,0,1,1,1,1,1,"He wanted to take the long route because he is sporty _ C=1","He wanted to take the long route because he is sporty","C=1","0111"
"131","M515545","t111101","He wanted to try pizza and wanted to take a long route because he is sporty",163,1,1,1,1,0,1,"He wanted to try pizza and wanted to take a long route because he is sporty _ C=1","He wanted to try pizza and wanted to take a long route because he is sporty","C=1","1111"
"132","M515545","t101100","He doesn't know the area well and he suddenly feels hungry when he is walking. So he buy the pizza from pizza stand when is walking along the path",164,1,0,1,1,0,0,"He doesn't know the area well and he suddenly feels hungry when he is walking. So he buys the pizza from pizza stand when walking along the path _ Su=1","He doesn't know the area well and he suddenly feels hungry when he is walking. So he buys the pizza from pizza stand when walking along the path","Su=1","1011"
"133","M515545","t010000","He is lazy and hungry . So he wants to buy the food which is closer to him",165,0,1,0,0,0,0,"He is lazy and hungry. So he wants to buy the food which is closer to him _ C=0","He is lazy and hungry. So he wants to buy the food which is closer to him","C=0","0100"
