type,stim1,stim2,stim3,stim4,tag,stimFormat,ITI,ISI,presTime,stimPos,responseType,responseOptions,head,button1,trialText,trialTextPos,title,content,subjectGroup,random
test,FKL,B start,FKL,BNS end,t110000,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,6,6
test,ADS,A start,ADS,ANS end,t001100,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,6,6
test,ADL,A start,ADL,APL end,t000111,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,6,6
test,AKS,A start,AKS,ANL end,t011101,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,6,6
test,AKL,A start,AKL,APS end,t010110,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,6,6
test,FDS,B start,FDS,BNL end,t101001,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,7,7
test,FDL,B start,FDL,BNS end,t100000,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,7,7
test,FKS,B start,FKS,BPS end,t111010,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,7,7
test,FKL,A start,FKL,APL end,t110111,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,7,7
test,ADS,B start,ADS,BPL end,t001011,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,7,7
test,ADL,A start,ADL,APS end,t000110,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,7,7
test,AKS,A start,AKS,ANS end,t011100,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,7,7
test,AKL,A start,AKL,ANL end,t010101,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,7,7
test,FDS,B start,FDS,BNS end,t101000,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,8,8
test,FDL,A start,FDL,APL end,t100111,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,8,8
test,FKS,B start,FKS,BNL end,t111001,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,8,8
test,FKL,A start,FKL,APS end,t110110,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,8,8
test,ADS,B start,ADS,BPS end,t001010,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,8,8
test,ADL,A start,ADL,ANL end,t000101,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,8,8
test,AKS,B start,AKS,BPL end,t011011,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,8,8
test,AKL,A start,AKL,ANS end,t010100,.png,800,;0,6000;,0 -300; 0 0; 0 -300; 0 0,comment,,,,What do you think is the single best explanation for the person's chosen path?,below,,,8,8
instructions,,,,,,,,,,,,,,NEXT,,,,"<p>Thank you for completing the assessment portion of this experiment.  The aim of the experiment was to find out how people make inferences when they see other people's behaviours, especially when the actions do not seem to be rational. <p/>

<p>Please press the button below to proceed to a short post-experiment questionnaire.<p/>",,
form,,,,,,,,,,,dropdown,Male;Female;Prefer not say,To which gender do you most identify?,,,,,,,
form,,,,,,,,,,,box,,Please state your age in the text box below.,,,,,,,
form,,,,,,,,,,,comment,,Do you have any comments or feedback regarding the experiment?,,,,,,,
