"","subject_id","cb","prob0","prob1","prob2","prob3","scenario","A","B","E","S","answer","trialtype","structure","ans"
"42","1nc1mtxtfj",0,"10%","70%","80%","50%","group",0,1,1,1,"The postdoc talked about the paper","d3","disjunctive",7
"43","1nc1mtxtfj",0,"10%","50%","80%","50%","cook",1,0,0,0,"The main dish did not impress the panel","c3","conjunctive",4
"44","1nc1mtxtfj",1,"50%","80%","50%","10%","cook",0,0,0,0,"The main dish did not impress the panel","c1","conjunctive",4
"45","1nc1mtxtfj",0,"50%","10%","50%","80%","group",1,1,1,0,"The postdoc talked about the paper","c5","conjunctive",7
"46","1nc1mtxtfj",1,"50%","80%","50%","10%","cook",0,1,0,0,"The chef did not complete the main dish","c2","conjunctive",2
"47","1nc1mtxtfj",0,"50%","10%","50%","80%","cook",1,1,0,0,"The main dish did not impress the panel","c4","conjunctive",4
"48","1nc1mtxtfj",0,"10%","70%","80%","50%","group",1,1,1,1,"The lecturer talked about the paper","d7","disjunctive",3
"49","1rvc938bgx",1,"80%","50%","10%","70%","job",1,1,1,0,"The candidate demonstrated skill B","c5","conjunctive",7
"50","1rvc938bgx",0,"10%","70%","80%","50%","job",1,0,0,1,"The candidate did not demonstrate skill B","d4","disjunctive",8
"51","1rvc938bgx",1,"80%","50%","10%","70%","group",1,1,0,1,"The lecturer did not talk about the paper","d6","disjunctive",4
"52","1rvc938bgx",1,"80%","50%","10%","50%","job",0,1,1,1,"The candidate demonstrated skill B","d3","disjunctive",7
"53","1rvc938bgx",0,"50%","10%","50%","80%","group",1,1,1,1,"The lecturer talked about the paper","d7","disjunctive",3
"54","1rvc938bgx",0,"10%","50%","80%","50%","cook",0,0,0,1,"The chef did not complete the main dish","d1","disjunctive",2
"55","1rvc938bgx",1,"50%","80%","50%","10%","cook",0,0,0,0,"The chef did not complete the main dish","c1","conjunctive",2
"56","1rvc938bgx",1,"80%","50%","10%","70%","job",1,1,0,0,"The candidate did not demonstrate skill B","c4","conjunctive",8
"57","1rvc938bgx",1,"80%","50%","10%","50%","group",0,1,0,1,"The lecturer did not attend","d2","disjunctive",2
"58","1rvc938bgx",0,"10%","50%","80%","50%","job",0,1,0,0,"The candidate did not have skill A","c2","conjunctive",2
"59","1rvc938bgx",1,"50%","80%","50%","10%","job",1,0,1,1,"The candidate demonstrated skill A","d5","disjunctive",3
"60","1rvc938bgx",0,"10%","70%","80%","50%","job",1,0,0,0,"The candidate did not have skill B","c3","conjunctive",6
"61","1t3ulnfryj",1,"80%","50%","10%","50%","cook",0,0,0,0,"The chef did not complete the main dish","c1","conjunctive",2
"62","1t3ulnfryj",1,"80%","50%","10%","70%","group",1,1,1,1,"The postdoc talked about the paper","d7","disjunctive",7
"63","1t3ulnfryj",1,"50%","80%","50%","10%","cook",1,0,0,1,"The chef did not complete the dessert","d4","disjunctive",6
"64","1t3ulnfryj",1,"80%","50%","10%","50%","cook",1,1,1,0,"The main dish impressed the panel","c5","conjunctive",3
"65","1t3ulnfryj",1,"50%","80%","50%","10%","job",0,1,0,0,"The candidate had skill B","c2","conjunctive",5
"66","1t3ulnfryj",1,"50%","80%","50%","10%","group",0,1,0,1,"The lecturer did not attend","d2","disjunctive",2
"67","1t3ulnfryj",1,"80%","50%","10%","70%","cook",0,0,0,1,"The chef did not complete the main dish","d1","disjunctive",2
"68","1t3ulnfryj",0,"10%","50%","80%","50%","job",1,1,0,1,"The candidate did not demonstrate skill B","d6","disjunctive",8
"69","1t3ulnfryj",1,"80%","50%","10%","70%","group",1,1,0,0,"The postdoc did not talk about the paper","c4","conjunctive",8
"70","1t3ulnfryj",0,"10%","50%","80%","50%","group",0,1,1,1,"The lecturer did not attend","d3","disjunctive",2
"71","1t3ulnfryj",1,"80%","50%","10%","50%","cook",1,0,1,1,"The main dish impressed the panel","d5","disjunctive",3
"72","1t3ulnfryj",0,"10%","50%","80%","50%","job",1,0,0,0,"The candidate did not demonstrate skill A","c3","conjunctive",4
"73","1vcyogm763",0,"10%","70%","80%","50%","group",1,0,0,1,"The lecturer attended","d4","disjunctive",1
"74","1vcyogm763",1,"50%","80%","50%","10%","job",1,1,1,1,"The candidate demonstrated skill B","d7","disjunctive",7
"75","1vcyogm763",1,"50%","80%","50%","10%","job",1,1,1,0,"The candidate demonstrated skill B","c5","conjunctive",7
"76","1vcyogm763",0,"50%","10%","50%","80%","cook",0,1,0,1,"The dessert did not impress the panel","d2","disjunctive",8
"77","1vcyogm763",0,"50%","10%","50%","80%","group",1,0,0,0,"The postdoc attended","c3","conjunctive",5
"78","1vcyogm763",0,"10%","70%","80%","50%","cook",0,0,0,1,"The chef did not complete the dessert","d1","disjunctive",6
"79","1vcyogm763",1,"80%","50%","10%","50%","job",0,1,1,1,"The candidate demonstrated skill B","d3","disjunctive",7
"80","1vcyogm763",0,"10%","70%","80%","50%","cook",0,1,0,0,"The chef did not complete the main dish","c2","conjunctive",2
"81","1vcyogm763",1,"50%","80%","50%","10%","job",1,0,1,1,"The candidate demonstrated skill A","d5","disjunctive",3
"82","1vcyogm763",1,"80%","50%","10%","50%","job",0,0,0,0,"The candidate did not have skill A","c1","conjunctive",2
"83","1vcyogm763",0,"10%","70%","80%","50%","group",1,1,0,1,"The lecturer did not talk about the paper","d6","disjunctive",4
"84","1vcyogm763",1,"50%","80%","50%","10%","job",1,1,0,0,"The candidate did not demonstrate skill A","c4","conjunctive",4
"85","25wwusqaw5",0,"10%","70%","80%","50%","job",0,0,0,1,"The candidate did not have skill B","d1","disjunctive",6
"86","25wwusqaw5",0,"10%","50%","80%","50%","group",1,0,0,0,"The lecturer did not talk about the paper","c3","conjunctive",4
"87","25wwusqaw5",1,"80%","50%","10%","50%","job",1,0,1,1,"The candidate had skill A","d5","disjunctive",1
"88","25wwusqaw5",0,"10%","70%","80%","50%","job",0,0,0,0,"The candidate did not have skill B","c1","conjunctive",6
"89","25wwusqaw5",1,"80%","50%","10%","70%","group",0,1,0,1,"The postdoc did not talk about the paper","d2","disjunctive",8
"90","25wwusqaw5",0,"50%","10%","50%","80%","cook",1,1,1,1,"The chef completed the dessert","d7","disjunctive",5
"91","25wwusqaw5",1,"50%","80%","50%","10%","job",1,1,0,0,"The candidate did not demonstrate skill A","c4","conjunctive",4
"92","25wwusqaw5",1,"50%","80%","50%","10%","cook",1,1,0,1,"The main dish did not impress the panel","d6","disjunctive",4
"93","25wwusqaw5",1,"80%","50%","10%","70%","group",0,1,0,0,"The postdoc did not talk about the paper","c2","conjunctive",8
"94","25wwusqaw5",0,"10%","50%","80%","50%","cook",1,0,0,1,"The chef did not complete the dessert","d4","disjunctive",6
"95","25wwusqaw5",1,"80%","50%","10%","50%","group",0,1,1,1,"The postdoc talked about the paper","d3","disjunctive",7
"96","25wwusqaw5",1,"80%","50%","10%","70%","group",1,1,1,0,"The lecturer attended","c5","conjunctive",1
"97","26n2v9lxvr",1,"80%","50%","10%","70%","cook",1,0,1,1,"The chef completed the main dish","d5","disjunctive",1
"98","26n2v9lxvr",1,"80%","50%","10%","70%","group",1,0,0,0,"The lecturer did not talk about the paper","c3","conjunctive",4
"99","26n2v9lxvr",1,"80%","50%","10%","70%","job",0,1,0,0,"The candidate did not demonstrate skill B","c2","conjunctive",8
"100","26n2v9lxvr",0,"10%","50%","80%","50%","group",0,1,0,1,"The postdoc did not talk about the paper","d2","disjunctive",8
"101","26n2v9lxvr",1,"80%","50%","10%","50%","group",0,0,0,0,"The lecturer did not attend","c1","conjunctive",2
"102","26n2v9lxvr",0,"50%","10%","50%","80%","cook",1,0,0,1,"The chef did not complete the dessert","d4","disjunctive",6
"103","26n2v9lxvr",0,"10%","50%","80%","50%","job",1,1,0,0,"The candidate did not demonstrate skill B","c4","conjunctive",8
"104","26n2v9lxvr",1,"80%","50%","10%","50%","cook",1,1,0,1,"The main dish did not impress the panel","d6","disjunctive",4
"105","26n2v9lxvr",0,"10%","50%","80%","50%","job",1,1,1,0,"The candidate demonstrated skill B","c5","conjunctive",7
"106","26n2v9lxvr",1,"80%","50%","10%","50%","group",1,1,1,1,"The lecturer talked about the paper","d7","disjunctive",3
"107","26n2v9lxvr",1,"50%","80%","50%","10%","group",0,1,1,1,"The postdoc talked about the paper","d3","disjunctive",7
"108","26n2v9lxvr",0,"10%","70%","80%","50%","cook",0,0,0,1,"The chef did not complete the dessert","d1","disjunctive",6
"109","27kggoq9fn",0,"10%","50%","80%","50%","job",0,1,1,1,"The candidate demonstrated skill B","d3","disjunctive",7
"110","27kggoq9fn",1,"50%","80%","50%","10%","cook",1,1,0,0,"The dessert did not impress the panel","c4","conjunctive",8
"111","27kggoq9fn",0,"10%","70%","80%","50%","job",0,0,0,1,"The candidate did not have skill A","d1","disjunctive",2
"112","27kggoq9fn",1,"80%","50%","10%","70%","cook",1,0,0,0,"The chef did not complete the dessert","c3","conjunctive",6
"113","27kggoq9fn",0,"10%","50%","80%","50%","cook",1,1,0,1,"The main dish did not impress the panel","d6","disjunctive",4
"114","27kggoq9fn",0,"50%","10%","50%","80%","cook",0,1,0,0,"The chef did not complete the main dish","c2","conjunctive",2
"115","27kggoq9fn",0,"50%","10%","50%","80%","job",1,1,1,1,"The candidate demonstrated skill A","d7","disjunctive",3
"116","27kggoq9fn",0,"10%","50%","80%","50%","cook",0,1,0,1,"The chef did not complete the main dish","d2","disjunctive",2
"117","27kggoq9fn",1,"80%","50%","10%","50%","group",1,1,1,0,"The postdoc attended","c5","conjunctive",5
"118","27kggoq9fn",1,"80%","50%","10%","70%","job",0,0,0,0,"The candidate did not have skill A","c1","conjunctive",2
"119","27kggoq9fn",0,"10%","70%","80%","50%","group",1,0,1,1,"The postdoc did not attend","d5","disjunctive",6
"120","27kggoq9fn",0,"10%","50%","80%","50%","cook",1,0,0,1,"The chef did not complete the dessert","d4","disjunctive",6
"121","28a82zjbor",0,"50%","10%","50%","80%","group",1,1,1,1,"The postdoc talked about the paper","d7","disjunctive",7
"122","28a82zjbor",1,"50%","80%","50%","10%","job",1,0,1,1,"The candidate had skill A","d5","disjunctive",1
"123","28a82zjbor",1,"80%","50%","10%","70%","cook",0,0,0,0,"The chef did not complete the main dish","c1","conjunctive",2
"124","28a82zjbor",0,"50%","10%","50%","80%","group",1,1,1,0,"The postdoc talked about the paper","c5","conjunctive",7
"125","28a82zjbor",0,"10%","70%","80%","50%","job",0,1,1,1,"The candidate had skill B","d3","disjunctive",5
"126","28a82zjbor",1,"50%","80%","50%","10%","cook",1,0,0,1,"The chef did not complete the dessert","d4","disjunctive",6
"127","28a82zjbor",1,"80%","50%","10%","70%","group",1,1,0,1,"The lecturer did not talk about the paper","d6","disjunctive",4
"128","28a82zjbor",0,"10%","70%","80%","50%","cook",1,1,0,0,"The main dish did not impress the panel","c4","conjunctive",4
"129","28a82zjbor",0,"10%","50%","80%","50%","job",0,0,0,1,"The candidate did not have skill B","d1","disjunctive",6
"130","28a82zjbor",0,"50%","10%","50%","80%","cook",0,1,0,0,"The chef did not complete the main dish","c2","conjunctive",2
"131","28a82zjbor",1,"80%","50%","10%","50%","group",0,1,0,1,"The lecturer did not attend","d2","disjunctive",2
"132","28a82zjbor",1,"50%","80%","50%","10%","cook",1,0,0,0,"The chef did not complete the dessert","c3","conjunctive",6
"133","2clh6uy0q9",0,"10%","70%","80%","50%","cook",1,0,1,1,"The chef did not complete the dessert","d5","disjunctive",6
"134","2clh6uy0q9",1,"50%","80%","50%","10%","cook",0,1,0,1,"The dessert did not impress the panel","d2","disjunctive",8
"135","2clh6uy0q9",0,"10%","50%","80%","50%","group",0,0,0,1,"The lecturer did not attend","d1","disjunctive",2
"136","2clh6uy0q9",1,"80%","50%","10%","50%","cook",0,1,0,0,"The dessert did not impress the panel","c2","conjunctive",8
"137","2clh6uy0q9",0,"50%","10%","50%","80%","group",1,0,0,0,"The lecturer did not talk about the paper","c3","conjunctive",4
"138","2clh6uy0q9",0,"10%","70%","80%","50%","job",1,1,1,0,"The candidate demonstrated skill B","c5","conjunctive",7
"139","2clh6uy0q9",1,"80%","50%","10%","70%","cook",1,0,0,1,"The main dish did not impress the panel","d4","disjunctive",4
"140","2clh6uy0q9",0,"50%","10%","50%","80%","job",1,1,0,0,"The candidate did not demonstrate skill B","c4","conjunctive",8
"141","2clh6uy0q9",0,"10%","50%","80%","50%","group",1,1,1,1,"The lecturer talked about the paper","d7","disjunctive",3
"142","2clh6uy0q9",0,"10%","50%","80%","50%","group",0,1,1,1,"The postdoc talked about the paper","d3","disjunctive",7
"143","2clh6uy0q9",0,"10%","70%","80%","50%","job",0,0,0,0,"The candidate did not have skill B","c1","conjunctive",6
"144","2clh6uy0q9",0,"10%","70%","80%","50%","job",1,1,0,1,"The candidate did not have skill B","d6","disjunctive",6
"145","39esuh175d",1,"80%","50%","10%","50%","cook",0,0,0,0,"The chef completed the main dish","c1","conjunctive",1
"146","39esuh175d",0,"10%","70%","80%","50%","cook",1,1,1,0,"The dessert impressed the panel","c5","conjunctive",7
"147","39esuh175d",1,"80%","50%","10%","70%","group",1,0,0,0,"The lecturer talked about the paper","c3","conjunctive",3
"148","39esuh175d",0,"10%","70%","80%","50%","cook",0,1,0,0,"The dessert impressed the panel","c2","conjunctive",7
"149","39esuh175d",1,"50%","80%","50%","10%","job",1,0,0,1,"The candidate demonstrated skill A","d4","disjunctive",3
"150","39esuh175d",0,"10%","50%","80%","50%","group",1,1,1,1,"The postdoc talked about the paper","d7","disjunctive",7
"151","39esuh175d",0,"50%","10%","50%","80%","cook",1,1,0,1,"The chef did not complete the main dish","d6","disjunctive",2
"152","39esuh175d",0,"10%","50%","80%","50%","cook",0,0,0,1,"The main dish did not impress the panel","d1","disjunctive",4
"153","39esuh175d",1,"80%","50%","10%","50%","group",1,1,0,0,"The postdoc did not talk about the paper","c4","conjunctive",8
"154","39esuh175d",0,"10%","50%","80%","50%","group",0,1,0,1,"The lecturer did not talk about the paper","d2","disjunctive",4
"155","39esuh175d",0,"50%","10%","50%","80%","cook",0,1,1,1,"The main dish impressed the panel","d3","disjunctive",3
"156","39esuh175d",1,"50%","80%","50%","10%","group",1,0,1,1,"The lecturer talked about the paper","d5","disjunctive",3
"157","3d1927fqoo",1,"80%","50%","10%","70%","cook",1,0,0,1,"The main dish did not impress the panel","d4","disjunctive",4
"158","3d1927fqoo",1,"80%","50%","10%","50%","job",0,1,1,1,"The candidate demonstrated skill B","d3","disjunctive",7
"159","3d1927fqoo",1,"80%","50%","10%","70%","job",1,1,1,0,"The candidate demonstrated skill A","c5","conjunctive",3
"160","3d1927fqoo",1,"80%","50%","10%","50%","cook",0,0,0,0,"The chef did not complete the main dish","c1","conjunctive",2
"161","3d1927fqoo",1,"80%","50%","10%","70%","cook",1,1,0,0,"The main dish did not impress the panel","c4","conjunctive",4
"162","3d1927fqoo",0,"10%","70%","80%","50%","job",0,1,0,0,"The candidate did not demonstrate skill A","c2","conjunctive",4
"163","3d1927fqoo",0,"50%","10%","50%","80%","cook",1,1,0,1,"The main dish did not impress the panel","d6","disjunctive",4
"164","3d1927fqoo",1,"80%","50%","10%","70%","job",1,0,0,0,"The candidate did not have skill B","c3","conjunctive",6
"165","3d1927fqoo",1,"50%","80%","50%","10%","group",0,1,0,1,"The lecturer did not attend","d2","disjunctive",2
"166","3d1927fqoo",0,"10%","50%","80%","50%","group",0,0,0,1,"The lecturer did not attend","d1","disjunctive",2
"167","3d1927fqoo",1,"80%","50%","10%","50%","job",1,0,1,1,"The candidate demonstrated skill A","d5","disjunctive",3
"168","3d1927fqoo",0,"50%","10%","50%","80%","job",1,1,1,1,"The candidate demonstrated skill B","d7","disjunctive",7
"169","3f3ze8b0ln",1,"80%","50%","10%","50%","job",1,1,0,0,"The candidate did not demonstrate skill B","c4","conjunctive",8
"170","3f3ze8b0ln",1,"80%","50%","10%","70%","cook",1,0,1,1,"The main dish impressed the panel","d5","disjunctive",3
"171","3f3ze8b0ln",0,"50%","10%","50%","80%","cook",0,1,0,1,"The dessert did not impress the panel","d2","disjunctive",8
"172","3f3ze8b0ln",1,"80%","50%","10%","70%","job",1,1,1,1,"The candidate demonstrated skill B","d7","disjunctive",7
"173","3f3ze8b0ln",1,"80%","50%","10%","50%","cook",0,0,0,1,"The chef did not complete the main dish","d1","disjunctive",2
"174","3f3ze8b0ln",0,"50%","10%","50%","80%","cook",0,0,0,0,"The chef did not complete the dessert","c1","conjunctive",6
"175","3f3ze8b0ln",0,"50%","10%","50%","80%","group",1,0,0,0,"The postdoc attended","c3","conjunctive",5
"176","3f3ze8b0ln",0,"10%","50%","80%","50%","cook",0,1,0,0,"The chef did not complete the main dish","c2","conjunctive",2
"177","3f3ze8b0ln",1,"80%","50%","10%","50%","group",1,1,0,1,"The lecturer did not talk about the paper","d6","disjunctive",4
"178","3f3ze8b0ln",0,"10%","50%","80%","50%","cook",1,1,1,0,"The main dish impressed the panel","c5","conjunctive",3
"179","3f3ze8b0ln",1,"80%","50%","10%","50%","job",1,0,0,1,"The candidate did not demonstrate skill A","d4","disjunctive",4
"180","3f3ze8b0ln",0,"10%","70%","80%","50%","job",0,1,1,1,"The candidate demonstrated skill B","d3","disjunctive",7
"181","3fptwaqomn",1,"50%","80%","50%","10%","job",1,1,1,0,"The candidate demonstrated skill A","c5","conjunctive",3
"182","3fptwaqomn",1,"80%","50%","10%","50%","group",0,1,1,1,"The postdoc talked about the paper","d3","disjunctive",7
"183","3fptwaqomn",0,"10%","70%","80%","50%","group",1,1,0,1,"The postdoc did not talk about the paper","d6","disjunctive",8
"184","3fptwaqomn",1,"80%","50%","10%","70%","group",1,0,0,1,"The lecturer did not talk about the paper","d4","disjunctive",4
"185","3fptwaqomn",1,"80%","50%","10%","70%","cook",0,1,0,1,"The dessert did not impress the panel","d2","disjunctive",8
"186","3fptwaqomn",0,"10%","70%","80%","50%","job",0,0,0,0,"The candidate did not have skill A","c1","conjunctive",2
"187","3fptwaqomn",1,"80%","50%","10%","70%","job",1,1,0,0,"The candidate did not demonstrate skill A","c4","conjunctive",4
"188","3fptwaqomn",1,"80%","50%","10%","70%","cook",1,0,0,0,"The chef did not complete the dessert","c3","conjunctive",6
"189","3fptwaqomn",0,"50%","10%","50%","80%","cook",0,1,0,0,"The chef did not complete the main dish","c2","conjunctive",2
"190","3fptwaqomn",1,"50%","80%","50%","10%","job",1,1,1,1,"The candidate had skill A","d7","disjunctive",1
"191","3fptwaqomn",1,"80%","50%","10%","70%","group",1,0,1,1,"The lecturer talked about the paper","d5","disjunctive",3
"192","3fptwaqomn",1,"80%","50%","10%","70%","job",0,0,0,1,"The candidate did not have skill A","d1","disjunctive",2
"193","3kd166nsn4",1,"80%","50%","10%","70%","cook",0,1,0,0,"The chef did not complete the main dish","c2","conjunctive",2
"194","3kd166nsn4",0,"10%","70%","80%","50%","cook",1,1,1,1,"The chef completed the main dish","d7","disjunctive",1
"195","3kd166nsn4",1,"50%","80%","50%","10%","cook",1,1,1,0,"The main dish impressed the panel","c5","conjunctive",3
"196","3kd166nsn4",0,"10%","70%","80%","50%","job",1,1,0,0,"The candidate had skill B","c4","conjunctive",5
"197","3kd166nsn4",1,"80%","50%","10%","50%","cook",0,0,0,1,"The chef did not complete the main dish","d1","disjunctive",2
"198","3kd166nsn4",0,"50%","10%","50%","80%","cook",1,0,1,1,"The main dish impressed the panel","d5","disjunctive",3
"199","3kd166nsn4",0,"50%","10%","50%","80%","job",0,1,1,1,"The candidate demonstrated skill B","d3","disjunctive",7
"200","3kd166nsn4",1,"50%","80%","50%","10%","cook",1,0,0,1,"The main dish did not impress the panel","d4","disjunctive",4
"201","3kd166nsn4",1,"50%","80%","50%","10%","cook",0,0,0,0,"The main dish did not impress the panel","c1","conjunctive",4
"202","3kd166nsn4",1,"80%","50%","10%","50%","group",1,0,0,0,"The postdoc did not attend","c3","conjunctive",6
"203","3kd166nsn4",1,"80%","50%","10%","50%","cook",1,1,0,1,"The main dish did not impress the panel","d6","disjunctive",4
"204","3kd166nsn4",0,"10%","50%","80%","50%","group",0,1,0,1,"The postdoc did not talk about the paper","d2","disjunctive",8
"205","3kql48xtgn",1,"80%","50%","10%","70%","job",1,1,0,1,"The candidate did not demonstrate skill A","d6","disjunctive",4
"206","3kql48xtgn",1,"80%","50%","10%","70%","group",1,1,0,0,"The lecturer did not talk about the paper","c4","conjunctive",4
"207","3kql48xtgn",0,"10%","70%","80%","50%","group",1,1,1,1,"The postdoc talked about the paper","d7","disjunctive",7
"208","3kql48xtgn",1,"80%","50%","10%","70%","job",0,0,0,1,"The candidate did not have skill A","d1","disjunctive",2
"209","3kql48xtgn",1,"80%","50%","10%","50%","cook",0,1,0,0,"The chef did not complete the main dish","c2","conjunctive",2
"210","3kql48xtgn",0,"50%","10%","50%","80%","group",1,0,0,0,"The postdoc did not attend","c3","conjunctive",6
"211","3kql48xtgn",1,"50%","80%","50%","10%","cook",0,1,1,1,"The dessert impressed the panel","d3","disjunctive",7
"212","3kql48xtgn",1,"50%","80%","50%","10%","group",0,1,0,1,"The postdoc did not talk about the paper","d2","disjunctive",8
"213","3kql48xtgn",0,"10%","50%","80%","50%","cook",1,0,1,1,"The main dish impressed the panel","d5","disjunctive",3
"214","3kql48xtgn",0,"10%","70%","80%","50%","cook",0,0,0,0,"The chef did not complete the main dish","c1","conjunctive",2
"215","3kql48xtgn",1,"80%","50%","10%","50%","job",1,1,1,0,"The candidate demonstrated skill B","c5","conjunctive",7
"216","3kql48xtgn",1,"80%","50%","10%","50%","group",1,0,0,1,"The lecturer did not talk about the paper","d4","disjunctive",4
"217","3nkexgad43",1,"80%","50%","10%","70%","job",1,0,0,1,"The candidate did not demonstrate skill B","d4","disjunctive",8
"218","3nkexgad43",0,"50%","10%","50%","80%","job",1,0,1,1,"The candidate demonstrated skill A","d5","disjunctive",3
"219","3nkexgad43",0,"10%","50%","80%","50%","group",1,1,1,1,"The postdoc talked about the paper","d7","disjunctive",7
"220","3nkexgad43",1,"50%","80%","50%","10%","job",1,1,0,1,"The candidate did not demonstrate skill B","d6","disjunctive",8
"221","3nkexgad43",0,"10%","70%","80%","50%","group",1,1,0,0,"The postdoc did not talk about the paper","c4","conjunctive",8
"222","3nkexgad43",0,"10%","50%","80%","50%","job",0,0,0,1,"The candidate did not have skill A","d1","disjunctive",2
"223","3nkexgad43",0,"10%","50%","80%","50%","job",0,1,0,0,"The candidate did not have skill A","c2","conjunctive",2
"224","3nkexgad43",0,"10%","70%","80%","50%","job",0,1,1,1,"The candidate demonstrated skill B","d3","disjunctive",7
"225","3nkexgad43",1,"80%","50%","10%","50%","job",1,0,0,0,"The candidate did not have skill B","c3","conjunctive",6
