"","subject_id","cb","prob0","prob1","prob2","prob3","scenario","A","B","E","S","answer","trialtype","probgroup","ans","isPerm","anscb","ansVar","ansVar2","ansVar3"
"96","3kd166nsn4",0,"10%","50%","80%","50%","group",0,1,0,1,"The postdoc did not talk about the paper","d2","1",8,TRUE,8,"Bu","Bu=0","Bu=0"
"97","3kql48xtgn",1,"80%","50%","10%","50%","cook",0,1,0,0,"The chef did not complete the main dish","c2","1",2,TRUE,6,"B","B","B=0"
"98","3kql48xtgn",0,"10%","50%","80%","50%","cook",1,0,1,1,"The main dish impressed the panel","d5","1",3,TRUE,3,"Au","Au=1","Au=1"
"99","3kql48xtgn",1,"80%","50%","10%","50%","job",1,1,1,0,"The candidate demonstrated skill B","c5","1",7,TRUE,3,"Au","Au=1","Au=1"
"100","3kql48xtgn",1,"80%","50%","10%","50%","group",1,0,0,1,"The lecturer did not talk about the paper","d4","1",4,TRUE,8,"Bu","Bu=0","Bu=0"
"101","3nkexgad43",0,"10%","50%","80%","50%","group",1,1,1,1,"The postdoc talked about the paper","d7","1",7,TRUE,7,"Bu","Bu=1","Bu=1"
"102","3nkexgad43",0,"10%","50%","80%","50%","job",0,0,0,1,"The candidate did not have skill A","d1","1",2,TRUE,2,"A","A","A=0"
"103","3nkexgad43",0,"10%","50%","80%","50%","job",0,1,0,0,"The candidate did not have skill A","c2","1",2,TRUE,2,"A","A","A=0"
"104","3nkexgad43",1,"80%","50%","10%","50%","job",1,0,0,0,"The candidate did not have skill B","c3","1",6,TRUE,2,"A","A","A=0"
"105","3uumkq27gk",0,"10%","50%","80%","50%","job",0,1,0,0,"The candidate did not have skill A","c2","1",2,TRUE,2,"A","A","A=0"
"106","3uumkq27gk",1,"80%","50%","10%","50%","job",1,0,0,0,"The candidate did not have skill B","c3","1",6,TRUE,2,"A","A","A=0"
"107","3uumkq27gk",1,"80%","50%","10%","50%","cook",1,1,1,1,"The chef completed the dessert","d7","1",5,TRUE,1,"A","A","A=1"
"108","3uumkq27gk",1,"80%","50%","10%","50%","cook",0,0,0,0,"The chef did not complete the main dish","c1","1",2,TRUE,6,"B","B","B=0"
"109","3uumkq27gk",1,"80%","50%","10%","50%","group",0,0,0,1,"The lecturer did not attend","d1","1",2,TRUE,6,"B","B","B=0"
"110","3uumkq27gk",0,"10%","50%","80%","50%","cook",1,0,1,1,"The main dish impressed the panel","d5","1",3,TRUE,3,"Au","Au=1","Au=1"
"111","3uumkq27gk",0,"10%","50%","80%","50%","cook",1,1,0,1,"The main dish did not impress the panel","d6","1",4,TRUE,4,"Au","Au=0","Au=0"
"112","3y078ww20y",1,"80%","50%","10%","50%","group",1,1,1,0,"The postdoc talked about the paper","c5","1",7,TRUE,3,"Au","Au=1","Au=1"
"113","3y078ww20y",1,"80%","50%","10%","50%","group",1,0,0,1,"The lecturer did not talk about the paper","d4","1",4,TRUE,8,"Bu","Bu=0","Bu=0"
"114","3y078ww20y",0,"10%","50%","80%","50%","cook",1,1,1,1,"The main dish impressed the panel","d7","1",3,TRUE,3,"Au","Au=1","Au=1"
"115","3y078ww20y",1,"80%","50%","10%","50%","job",1,1,0,0,"The candidate did not demonstrate skill B","c4","1",8,TRUE,4,"Au","Au=0","Au=0"
"116","3y078ww20y",0,"10%","50%","80%","50%","group",0,1,0,0,"The lecturer did not attend","c2","1",2,TRUE,2,"A","A","A=0"
"117","3z7veewhuc",1,"80%","50%","10%","50%","job",0,1,1,1,"The candidate demonstrated skill A","d3","1",3,FALSE,7,"Bu","Bu=1","Bu=1"
"118","404p6kx8n2",0,"10%","50%","80%","50%","job",1,1,0,0,"The candidate did not demonstrate skill B","c4","1",8,TRUE,8,"Bu","Bu=0","Bu=0"
"119","404p6kx8n2",0,"10%","50%","80%","50%","cook",1,0,0,0,"The main dish did not impress the panel","c3","1",4,TRUE,4,"Au","Au=0","Au=0"
"120","404p6kx8n2",0,"10%","50%","80%","50%","group",0,0,0,0,"The postdoc did not attend","c1","1",6,TRUE,6,"B","B","B=0"
"121","404p6kx8n2",0,"10%","50%","80%","50%","job",1,1,1,0,"The candidate demonstrated skill A","c5","1",3,TRUE,3,"Au","Au=1","Au=1"
"122","404p6kx8n2",0,"10%","50%","80%","50%","cook",0,1,0,0,"The dessert did not impress the panel","c2","1",8,TRUE,8,"Bu","Bu=0","Bu=0"
"123","40qkre80o8",1,"80%","50%","10%","50%","job",1,1,0,0,"The candidate did not demonstrate skill B","c4","1",8,TRUE,4,"Au","Au=0","Au=0"
"124","40qkre80o8",0,"10%","50%","80%","50%","group",1,0,0,0,"The lecturer talked about the paper","c3","1",3,FALSE,3,"Au","Au=1","Au=1"
"125","40qkre80o8",1,"80%","50%","10%","50%","job",1,1,0,1,"The candidate did not demonstrate skill B","d6","1",8,TRUE,4,"Au","Au=0","Au=0"
"126","40qkre80o8",0,"10%","50%","80%","50%","job",1,0,0,1,"The candidate did not demonstrate skill B","d4","1",8,FALSE,8,"Bu","Bu=0","Bu=0"
"127","40qkre80o8",0,"10%","50%","80%","50%","group",1,0,1,1,"The postdoc did not attend","d5","1",6,FALSE,6,"B","B","B=0"
"128","45nwjk8ynq",0,"10%","50%","80%","50%","group",0,0,0,1,"The postdoc did not attend","d1","1",6,TRUE,6,"B","B","B=0"
"129","45nwjk8ynq",0,"10%","50%","80%","50%","cook",1,0,0,1,"The main dish did not impress the panel","d4","1",4,TRUE,4,"Au","Au=0","Au=0"
"130","45nwjk8ynq",1,"80%","50%","10%","50%","cook",1,1,1,0,"The dessert impressed the panel","c5","1",7,TRUE,3,"Au","Au=1","Au=1"
"131","45nwjk8ynq",1,"80%","50%","10%","50%","job",1,1,0,0,"The candidate did not demonstrate skill B","c4","1",8,TRUE,4,"Au","Au=0","Au=0"
"132","45nwjk8ynq",0,"10%","50%","80%","50%","cook",1,0,1,1,"The main dish impressed the panel","d5","1",3,TRUE,3,"Au","Au=1","Au=1"
"133","48ovwfseon",0,"10%","50%","80%","50%","cook",0,1,0,0,"The chef did not complete the main dish","c2","1",2,TRUE,2,"A","A","A=0"
"134","48ovwfseon",1,"80%","50%","10%","50%","job",0,1,1,1,"The candidate demonstrated skill B","d3","1",7,TRUE,3,"Au","Au=1","Au=1"
"135","4aoecew5vb",0,"10%","50%","80%","50%","cook",1,1,0,0,"The main dish did not impress the panel","c4","1",4,TRUE,4,"Au","Au=0","Au=0"
"136","4aoecew5vb",1,"80%","50%","10%","50%","cook",1,0,1,1,"The main dish impressed the panel","d5","1",3,TRUE,7,"Bu","Bu=1","Bu=1"
"137","4aoecew5vb",1,"80%","50%","10%","50%","cook",1,1,1,0,"The main dish impressed the panel","c5","1",3,TRUE,7,"Bu","Bu=1","Bu=1"
"138","4aoecew5vb",0,"10%","50%","80%","50%","group",1,0,0,1,"The lecturer did not talk about the paper","d4","1",4,TRUE,4,"Au","Au=0","Au=0"
"139","4aoecew5vb",0,"10%","50%","80%","50%","group",1,1,0,1,"The postdoc did not talk about the paper","d6","1",8,TRUE,8,"Bu","Bu=0","Bu=0"
"140","4aoecew5vb",0,"10%","50%","80%","50%","cook",0,1,0,0,"The chef did not complete the main dish","c2","1",2,TRUE,2,"A","A","A=0"
"141","4aoecew5vb",1,"80%","50%","10%","50%","group",1,1,1,1,"The lecturer talked about the paper","d7","1",3,TRUE,7,"Bu","Bu=1","Bu=1"
"142","4ckwt7p28q",0,"10%","50%","80%","50%","job",1,1,1,0,"The candidate demonstrated skill A","c5","1",3,TRUE,3,"Au","Au=1","Au=1"
"143","4ckwt7p28q",0,"10%","50%","80%","50%","cook",0,1,0,1,"The chef completed the dessert","d2","1",5,FALSE,5,"B","B","B=1"
"144","4ckwt7p28q",1,"80%","50%","10%","50%","group",1,0,0,1,"The lecturer attended","d4","1",1,FALSE,5,"B","B","B=1"
"145","4ckwt7p28q",1,"80%","50%","10%","50%","cook",1,1,1,1,"The chef completed the dessert","d7","1",5,TRUE,1,"A","A","A=1"
"146","4ckwt7p28q",1,"80%","50%","10%","50%","cook",0,0,0,0,"The chef did not complete the main dish","c1","1",2,TRUE,6,"B","B","B=0"
"147","4ckwt7p28q",1,"80%","50%","10%","50%","cook",1,1,0,1,"The dessert did not impress the panel","d6","1",8,TRUE,4,"Au","Au=0","Au=0"
"148","4e3r8kos8o",1,"80%","50%","10%","50%","cook",1,0,1,1,"The main dish impressed the panel","d5","1",3,TRUE,7,"Bu","Bu=1","Bu=1"
"149","4e3r8kos8o",0,"10%","50%","80%","50%","cook",1,0,0,0,"The main dish did not impress the panel","c3","1",4,TRUE,4,"Au","Au=0","Au=0"
"150","4e3r8kos8o",0,"10%","50%","80%","50%","cook",0,1,1,1,"The dessert impressed the panel","d3","1",7,TRUE,7,"Bu","Bu=1","Bu=1"
"151","4g1badk9aw",0,"10%","50%","80%","50%","cook",0,0,0,1,"The chef did not complete the dessert","d1","1",6,TRUE,6,"B","B","B=0"
"152","4g1badk9aw",0,"10%","50%","80%","50%","cook",1,0,0,0,"The main dish did not impress the panel","c3","1",4,TRUE,4,"Au","Au=0","Au=0"
"153","4knd1cj628",0,"10%","50%","80%","50%","job",1,0,1,1,"The candidate demonstrated skill A","d5","1",3,TRUE,3,"Au","Au=1","Au=1"
"154","4knd1cj628",0,"10%","50%","80%","50%","cook",1,1,1,0,"The main dish impressed the panel","c5","1",3,TRUE,3,"Au","Au=1","Au=1"
"155","4knd1cj628",1,"80%","50%","10%","50%","group",0,0,0,0,"The postdoc did not attend","c1","1",6,TRUE,2,"A","A","A=0"
"156","4knd1cj628",0,"10%","50%","80%","50%","job",1,1,1,1,"The candidate demonstrated skill B","d7","1",7,TRUE,7,"Bu","Bu=1","Bu=1"
"157","4knd1cj628",1,"80%","50%","10%","50%","group",1,0,0,0,"The lecturer did not talk about the paper","c3","1",4,TRUE,8,"Bu","Bu=0","Bu=0"
"158","4neborlqzc",1,"80%","50%","10%","50%","cook",1,1,1,0,"The chef completed the dessert","c5","1",5,TRUE,1,"A","A","A=1"
"159","4neborlqzc",1,"80%","50%","10%","50%","job",0,0,0,0,"The candidate did not have skill A","c1","1",2,TRUE,6,"B","B","B=0"
"160","4neborlqzc",0,"10%","50%","80%","50%","group",0,1,1,1,"The postdoc talked about the paper","d3","1",7,TRUE,7,"Bu","Bu=1","Bu=1"
"161","4neborlqzc",1,"80%","50%","10%","50%","job",1,1,1,1,"The candidate had skill A","d7","1",1,TRUE,5,"B","B","B=1"
"162","4neborlqzc",1,"80%","50%","10%","50%","group",1,0,0,0,"The postdoc did not attend","c3","1",6,TRUE,2,"A","A","A=0"
"163","4w8ou01p8d",0,"10%","50%","80%","50%","group",1,0,1,1,"The lecturer talked about the paper","d5","1",3,TRUE,3,"Au","Au=1","Au=1"
"164","4w8ou01p8d",0,"10%","50%","80%","50%","group",1,1,0,0,"The lecturer did not talk about the paper","c4","1",4,TRUE,4,"Au","Au=0","Au=0"
"165","4z4kdkpjc2",0,"10%","50%","80%","50%","job",0,0,0,1,"The candidate did not have skill B","d1","1",6,TRUE,6,"B","B","B=0"
"166","4z4kdkpjc2",0,"10%","50%","80%","50%","job",0,1,0,1,"The candidate did not demonstrate skill B","d2","1",8,TRUE,8,"Bu","Bu=0","Bu=0"
"167","553waobtm3",1,"80%","50%","10%","50%","group",0,0,0,1,"The lecturer did not attend","d1","1",2,TRUE,6,"B","B","B=0"
"168","553waobtm3",0,"10%","50%","80%","50%","group",1,1,0,0,"The postdoc did not talk about the paper","c4","1",8,TRUE,8,"Bu","Bu=0","Bu=0"
"169","553waobtm3",1,"80%","50%","10%","50%","cook",1,1,0,1,"The main dish did not impress the panel","d6","1",4,TRUE,8,"Bu","Bu=0","Bu=0"
"170","553waobtm3",0,"10%","50%","80%","50%","cook",0,1,0,1,"The main dish did not impress the panel","d2","1",4,FALSE,4,"Au","Au=0","Au=0"
"171","56jkqz651e",0,"10%","50%","80%","50%","group",1,0,1,1,"The lecturer attended","d5","1",1,TRUE,1,"A","A","A=1"
"172","56jkqz651e",1,"80%","50%","10%","50%","job",0,0,0,0,"The candidate did not demonstrate skill A","c1","1",4,FALSE,8,"Bu","Bu=0","Bu=0"
"173","56jkqz651e",1,"80%","50%","10%","50%","group",0,1,0,0,"The postdoc did not talk about the paper","c2","1",8,TRUE,4,"Au","Au=0","Au=0"
"174","56jkqz651e",1,"80%","50%","10%","50%","group",1,1,1,1,"The postdoc talked about the paper","d7","1",7,TRUE,3,"Au","Au=1","Au=1"
"175","56jkqz651e",1,"80%","50%","10%","50%","group",1,0,0,0,"The lecturer did not talk about the paper","c3","1",4,TRUE,8,"Bu","Bu=0","Bu=0"
"176","5dfpudq5gr",0,"10%","50%","80%","50%","cook",1,1,0,1,"The chef completed the dessert","d6","1",5,FALSE,5,"B","B","B=1"
