"","subject_id","cb","prob0","prob1","prob2","prob3","scenario","A","B","E","S","answer","trialtype"
"110","1nc1mtxtfj",1,"80%","50%","10%","50%","group",1,1,0,1,"The lecturer did not talk about the paper","d6"
"111","1nc1mtxtfj",0,"50%","10%","50%","80%","job",0,1,0,1,"The candidate did not demonstrate skill B","d2"
"112","1nc1mtxtfj",1,"80%","50%","10%","70%","cook",0,0,0,1,"The chef did not complete the main dish","d1"
"113","1nc1mtxtfj",1,"80%","50%","10%","70%","cook",1,0,0,1,"The main dish did not impress the panel","d4"
"114","1nc1mtxtfj",0,"10%","70%","80%","50%","group",0,1,1,1,"The postdoc talked about the paper","d3"
"115","1nc1mtxtfj",0,"10%","50%","80%","50%","cook",1,0,0,0,"The main dish did not impress the panel","c3"
"116","1nc1mtxtfj",1,"50%","80%","50%","10%","cook",0,0,0,0,"The main dish did not impress the panel","c1"
"117","1nc1mtxtfj",0,"50%","10%","50%","80%","group",1,1,1,0,"The postdoc talked about the paper","c5"
"118","1nc1mtxtfj",1,"50%","80%","50%","10%","cook",0,1,0,0,"The chef did not complete the main dish","c2"
"119","1nc1mtxtfj",0,"50%","10%","50%","80%","cook",1,1,0,0,"The main dish did not impress the panel","c4"
"120","1nc1mtxtfj",0,"10%","70%","80%","50%","group",1,1,1,1,"The lecturer talked about the paper","d7"
"121","1rvc938bgx",1,"80%","50%","10%","70%","job",1,1,1,0,"The candidate demonstrated skill B","c5"
"122","1rvc938bgx",0,"10%","70%","80%","50%","job",1,0,0,1,"The candidate did not demonstrate skill B","d4"
"123","1rvc938bgx",1,"80%","50%","10%","70%","group",1,1,0,1,"The lecturer did not talk about the paper","d6"
"124","1rvc938bgx",1,"80%","50%","10%","50%","job",0,1,1,1,"The candidate demonstrated skill B","d3"
"125","1rvc938bgx",0,"50%","10%","50%","80%","group",1,1,1,1,"The lecturer talked about the paper","d7"
"126","1rvc938bgx",0,"10%","50%","80%","50%","cook",0,0,0,1,"The chef did not complete the main dish","d1"
"127","1rvc938bgx",1,"50%","80%","50%","10%","cook",0,0,0,0,"The chef did not complete the main dish","c1"
"128","1rvc938bgx",1,"80%","50%","10%","70%","job",1,1,0,0,"The candidate did not demonstrate skill B","c4"
"129","1rvc938bgx",1,"80%","50%","10%","50%","group",0,1,0,1,"The lecturer did not attend","d2"
"130","1rvc938bgx",0,"10%","50%","80%","50%","job",0,1,0,0,"The candidate did not have skill A","c2"
"131","1rvc938bgx",1,"50%","80%","50%","10%","job",1,0,1,1,"The candidate demonstrated skill A","d5"
"132","1rvc938bgx",0,"10%","70%","80%","50%","job",1,0,0,0,"The candidate did not have skill B","c3"
"133","1t3ulnfryj",1,"80%","50%","10%","50%","cook",0,0,0,0,"The chef did not complete the main dish","c1"
"134","1t3ulnfryj",1,"80%","50%","10%","70%","group",1,1,1,1,"The postdoc talked about the paper","d7"
"135","1t3ulnfryj",1,"50%","80%","50%","10%","cook",1,0,0,1,"The chef did not complete the dessert","d4"
"136","1t3ulnfryj",1,"80%","50%","10%","50%","cook",1,1,1,0,"The main dish impressed the panel","c5"
"137","1t3ulnfryj",1,"50%","80%","50%","10%","job",0,1,0,0,"The candidate had skill B","c2"
"138","1t3ulnfryj",1,"50%","80%","50%","10%","group",0,1,0,1,"The lecturer did not attend","d2"
"139","1t3ulnfryj",1,"80%","50%","10%","70%","cook",0,0,0,1,"The chef did not complete the main dish","d1"
"140","1t3ulnfryj",0,"10%","50%","80%","50%","job",1,1,0,1,"The candidate did not demonstrate skill B","d6"
"141","1t3ulnfryj",1,"80%","50%","10%","70%","group",1,1,0,0,"The postdoc did not talk about the paper","c4"
"142","1t3ulnfryj",0,"10%","50%","80%","50%","group",0,1,1,1,"The lecturer did not attend","d3"
"143","1t3ulnfryj",1,"80%","50%","10%","50%","cook",1,0,1,1,"The main dish impressed the panel","d5"
"144","1t3ulnfryj",0,"10%","50%","80%","50%","job",1,0,0,0,"The candidate did not demonstrate skill A","c3"
"145","1vcyogm763",0,"10%","70%","80%","50%","group",1,0,0,1,"The lecturer attended","d4"
"146","1vcyogm763",1,"50%","80%","50%","10%","job",1,1,1,1,"The candidate demonstrated skill B","d7"
"147","1vcyogm763",1,"50%","80%","50%","10%","job",1,1,1,0,"The candidate demonstrated skill B","c5"
"148","1vcyogm763",0,"50%","10%","50%","80%","cook",0,1,0,1,"The dessert did not impress the panel","d2"
"149","1vcyogm763",0,"50%","10%","50%","80%","group",1,0,0,0,"The postdoc attended","c3"
"150","1vcyogm763",0,"10%","70%","80%","50%","cook",0,0,0,1,"The chef did not complete the dessert","d1"
"151","1vcyogm763",1,"80%","50%","10%","50%","job",0,1,1,1,"The candidate demonstrated skill B","d3"
"152","1vcyogm763",0,"10%","70%","80%","50%","cook",0,1,0,0,"The chef did not complete the main dish","c2"
"153","1vcyogm763",1,"50%","80%","50%","10%","job",1,0,1,1,"The candidate demonstrated skill A","d5"
"154","1vcyogm763",1,"80%","50%","10%","50%","job",0,0,0,0,"The candidate did not have skill A","c1"
"155","1vcyogm763",0,"10%","70%","80%","50%","group",1,1,0,1,"The lecturer did not talk about the paper","d6"
"156","1vcyogm763",1,"50%","80%","50%","10%","job",1,1,0,0,"The candidate did not demonstrate skill A","c4"
"157","25wwusqaw5",0,"10%","70%","80%","50%","job",0,0,0,1,"The candidate did not have skill B","d1"
"158","25wwusqaw5",0,"10%","50%","80%","50%","group",1,0,0,0,"The lecturer did not talk about the paper","c3"
"159","25wwusqaw5",1,"80%","50%","10%","50%","job",1,0,1,1,"The candidate had skill A","d5"
"160","25wwusqaw5",0,"10%","70%","80%","50%","job",0,0,0,0,"The candidate did not have skill B","c1"
"161","25wwusqaw5",1,"80%","50%","10%","70%","group",0,1,0,1,"The postdoc did not talk about the paper","d2"
"162","25wwusqaw5",0,"50%","10%","50%","80%","cook",1,1,1,1,"The chef completed the dessert","d7"
"163","25wwusqaw5",1,"50%","80%","50%","10%","job",1,1,0,0,"The candidate did not demonstrate skill A","c4"
"164","25wwusqaw5",1,"50%","80%","50%","10%","cook",1,1,0,1,"The main dish did not impress the panel","d6"
"165","25wwusqaw5",1,"80%","50%","10%","70%","group",0,1,0,0,"The postdoc did not talk about the paper","c2"
"166","25wwusqaw5",0,"10%","50%","80%","50%","cook",1,0,0,1,"The chef did not complete the dessert","d4"
"167","25wwusqaw5",1,"80%","50%","10%","50%","group",0,1,1,1,"The postdoc talked about the paper","d3"
"168","25wwusqaw5",1,"80%","50%","10%","70%","group",1,1,1,0,"The lecturer attended","c5"
"169","26n2v9lxvr",1,"80%","50%","10%","70%","cook",1,0,1,1,"The chef completed the main dish","d5"
"170","26n2v9lxvr",1,"80%","50%","10%","70%","group",1,0,0,0,"The lecturer did not talk about the paper","c3"
"171","26n2v9lxvr",1,"80%","50%","10%","70%","job",0,1,0,0,"The candidate did not demonstrate skill B","c2"
"172","26n2v9lxvr",0,"10%","50%","80%","50%","group",0,1,0,1,"The postdoc did not talk about the paper","d2"
"173","26n2v9lxvr",1,"80%","50%","10%","50%","group",0,0,0,0,"The lecturer did not attend","c1"
"174","26n2v9lxvr",0,"50%","10%","50%","80%","cook",1,0,0,1,"The chef did not complete the dessert","d4"
"175","26n2v9lxvr",0,"10%","50%","80%","50%","job",1,1,0,0,"The candidate did not demonstrate skill B","c4"
"176","26n2v9lxvr",1,"80%","50%","10%","50%","cook",1,1,0,1,"The main dish did not impress the panel","d6"
"177","26n2v9lxvr",0,"10%","50%","80%","50%","job",1,1,1,0,"The candidate demonstrated skill B","c5"
"178","26n2v9lxvr",1,"80%","50%","10%","50%","group",1,1,1,1,"The lecturer talked about the paper","d7"
"179","26n2v9lxvr",1,"50%","80%","50%","10%","group",0,1,1,1,"The postdoc talked about the paper","d3"
"180","26n2v9lxvr",0,"10%","70%","80%","50%","cook",0,0,0,1,"The chef did not complete the dessert","d1"
"181","27kggoq9fn",0,"10%","50%","80%","50%","job",0,1,1,1,"The candidate demonstrated skill B","d3"
"182","27kggoq9fn",1,"50%","80%","50%","10%","cook",1,1,0,0,"The dessert did not impress the panel","c4"
"183","27kggoq9fn",0,"10%","70%","80%","50%","job",0,0,0,1,"The candidate did not have skill A","d1"
"184","27kggoq9fn",1,"80%","50%","10%","70%","cook",1,0,0,0,"The chef did not complete the dessert","c3"
"185","27kggoq9fn",0,"10%","50%","80%","50%","cook",1,1,0,1,"The main dish did not impress the panel","d6"
"186","27kggoq9fn",0,"50%","10%","50%","80%","cook",0,1,0,0,"The chef did not complete the main dish","c2"
"187","27kggoq9fn",0,"50%","10%","50%","80%","job",1,1,1,1,"The candidate demonstrated skill A","d7"
"188","27kggoq9fn",0,"10%","50%","80%","50%","cook",0,1,0,1,"The chef did not complete the main dish","d2"
"189","27kggoq9fn",1,"80%","50%","10%","50%","group",1,1,1,0,"The postdoc attended","c5"
"190","27kggoq9fn",1,"80%","50%","10%","70%","job",0,0,0,0,"The candidate did not have skill A","c1"
"191","27kggoq9fn",0,"10%","70%","80%","50%","group",1,0,1,1,"The postdoc did not attend","d5"
"192","27kggoq9fn",0,"10%","50%","80%","50%","cook",1,0,0,1,"The chef did not complete the dessert","d4"
"193","28a82zjbor",0,"50%","10%","50%","80%","group",1,1,1,1,"The postdoc talked about the paper","d7"
"194","28a82zjbor",1,"50%","80%","50%","10%","job",1,0,1,1,"The candidate had skill A","d5"
"195","28a82zjbor",1,"80%","50%","10%","70%","cook",0,0,0,0,"The chef did not complete the main dish","c1"
"196","28a82zjbor",0,"50%","10%","50%","80%","group",1,1,1,0,"The postdoc talked about the paper","c5"
"197","28a82zjbor",0,"10%","70%","80%","50%","job",0,1,1,1,"The candidate had skill B","d3"
"198","28a82zjbor",1,"50%","80%","50%","10%","cook",1,0,0,1,"The chef did not complete the dessert","d4"
"199","28a82zjbor",1,"80%","50%","10%","70%","group",1,1,0,1,"The lecturer did not talk about the paper","d6"
"200","28a82zjbor",0,"10%","70%","80%","50%","cook",1,1,0,0,"The main dish did not impress the panel","c4"
"201","28a82zjbor",0,"10%","50%","80%","50%","job",0,0,0,1,"The candidate did not have skill B","d1"
"202","28a82zjbor",0,"50%","10%","50%","80%","cook",0,1,0,0,"The chef did not complete the main dish","c2"
"203","28a82zjbor",1,"80%","50%","10%","50%","group",0,1,0,1,"The lecturer did not attend","d2"
"204","28a82zjbor",1,"50%","80%","50%","10%","cook",1,0,0,0,"The chef did not complete the dessert","c3"
"205","2clh6uy0q9",0,"10%","70%","80%","50%","cook",1,0,1,1,"The chef did not complete the dessert","d5"
"206","2clh6uy0q9",1,"50%","80%","50%","10%","cook",0,1,0,1,"The dessert did not impress the panel","d2"
"207","2clh6uy0q9",0,"10%","50%","80%","50%","group",0,0,0,1,"The lecturer did not attend","d1"
"208","2clh6uy0q9",1,"80%","50%","10%","50%","cook",0,1,0,0,"The dessert did not impress the panel","c2"
"209","2clh6uy0q9",0,"50%","10%","50%","80%","group",1,0,0,0,"The lecturer did not talk about the paper","c3"
"210","2clh6uy0q9",0,"10%","70%","80%","50%","job",1,1,1,0,"The candidate demonstrated skill B","c5"
"211","2clh6uy0q9",1,"80%","50%","10%","70%","cook",1,0,0,1,"The main dish did not impress the panel","d4"
"212","2clh6uy0q9",0,"50%","10%","50%","80%","job",1,1,0,0,"The candidate did not demonstrate skill B","c4"
"213","2clh6uy0q9",0,"10%","50%","80%","50%","group",1,1,1,1,"The lecturer talked about the paper","d7"
"214","2clh6uy0q9",0,"10%","50%","80%","50%","group",0,1,1,1,"The postdoc talked about the paper","d3"
"215","2clh6uy0q9",0,"10%","70%","80%","50%","job",0,0,0,0,"The candidate did not have skill B","c1"
"216","2clh6uy0q9",0,"10%","70%","80%","50%","job",1,1,0,1,"The candidate did not have skill B","d6"
"217","2w0wx4yjdt",1,"80%","50%","10%","50%","cook",1,0,1,1,"The chef completed the main dish","d5"
"218","39esuh175d",1,"80%","50%","10%","50%","cook",0,0,0,0,"The chef completed the main dish","c1"
"219","39esuh175d",0,"10%","70%","80%","50%","cook",1,1,1,0,"The dessert impressed the panel","c5"
"220","39esuh175d",1,"80%","50%","10%","70%","group",1,0,0,0,"The lecturer talked about the paper","c3"
"221","39esuh175d",0,"10%","70%","80%","50%","cook",0,1,0,0,"The dessert impressed the panel","c2"
"222","39esuh175d",1,"50%","80%","50%","10%","job",1,0,0,1,"The candidate demonstrated skill A","d4"
"223","39esuh175d",0,"10%","50%","80%","50%","group",1,1,1,1,"The postdoc talked about the paper","d7"
"224","39esuh175d",0,"50%","10%","50%","80%","cook",1,1,0,1,"The chef did not complete the main dish","d6"
"225","39esuh175d",0,"10%","50%","80%","50%","cook",0,0,0,1,"The main dish did not impress the panel","d1"
"226","39esuh175d",1,"80%","50%","10%","50%","group",1,1,0,0,"The postdoc did not talk about the paper","c4"
"227","39esuh175d",0,"10%","50%","80%","50%","group",0,1,0,1,"The lecturer did not talk about the paper","d2"
"228","39esuh175d",0,"50%","10%","50%","80%","cook",0,1,1,1,"The main dish impressed the panel","d3"
"229","39esuh175d",1,"50%","80%","50%","10%","group",1,0,1,1,"The lecturer talked about the paper","d5"
"230","3d1927fqoo",1,"80%","50%","10%","70%","cook",1,0,0,1,"The main dish did not impress the panel","d4"
"231","3d1927fqoo",1,"80%","50%","10%","50%","job",0,1,1,1,"The candidate demonstrated skill B","d3"
"232","3d1927fqoo",1,"80%","50%","10%","70%","job",1,1,1,0,"The candidate demonstrated skill A","c5"
"233","3d1927fqoo",1,"80%","50%","10%","50%","cook",0,0,0,0,"The chef did not complete the main dish","c1"
"234","3d1927fqoo",1,"80%","50%","10%","70%","cook",1,1,0,0,"The main dish did not impress the panel","c4"
"235","3d1927fqoo",0,"10%","70%","80%","50%","job",0,1,0,0,"The candidate did not demonstrate skill A","c2"
"236","3d1927fqoo",0,"50%","10%","50%","80%","cook",1,1,0,1,"The main dish did not impress the panel","d6"
"237","3d1927fqoo",1,"80%","50%","10%","70%","job",1,0,0,0,"The candidate did not have skill B","c3"
"238","3d1927fqoo",1,"50%","80%","50%","10%","group",0,1,0,1,"The lecturer did not attend","d2"
"239","3d1927fqoo",0,"10%","50%","80%","50%","group",0,0,0,1,"The lecturer did not attend","d1"
"240","3d1927fqoo",1,"80%","50%","10%","50%","job",1,0,1,1,"The candidate demonstrated skill A","d5"
"241","3d1927fqoo",0,"50%","10%","50%","80%","job",1,1,1,1,"The candidate demonstrated skill B","d7"
"242","3f3ze8b0ln",1,"80%","50%","10%","50%","job",1,1,0,0,"The candidate did not demonstrate skill B","c4"
"243","3f3ze8b0ln",1,"80%","50%","10%","70%","cook",1,0,1,1,"The main dish impressed the panel","d5"
"244","3f3ze8b0ln",0,"50%","10%","50%","80%","cook",0,1,0,1,"The dessert did not impress the panel","d2"
"245","3f3ze8b0ln",1,"80%","50%","10%","70%","job",1,1,1,1,"The candidate demonstrated skill B","d7"
"246","3f3ze8b0ln",1,"80%","50%","10%","50%","cook",0,0,0,1,"The chef did not complete the main dish","d1"
"247","3f3ze8b0ln",0,"50%","10%","50%","80%","cook",0,0,0,0,"The chef did not complete the dessert","c1"
"248","3f3ze8b0ln",0,"50%","10%","50%","80%","group",1,0,0,0,"The postdoc attended","c3"
"249","3f3ze8b0ln",0,"10%","50%","80%","50%","cook",0,1,0,0,"The chef did not complete the main dish","c2"
"250","3f3ze8b0ln",1,"80%","50%","10%","50%","group",1,1,0,1,"The lecturer did not talk about the paper","d6"
"251","3f3ze8b0ln",0,"10%","50%","80%","50%","cook",1,1,1,0,"The main dish impressed the panel","c5"
"252","3f3ze8b0ln",1,"80%","50%","10%","50%","job",1,0,0,1,"The candidate did not demonstrate skill A","d4"
"253","3f3ze8b0ln",0,"10%","70%","80%","50%","job",0,1,1,1,"The candidate demonstrated skill B","d3"
"254","3fptwaqomn",1,"50%","80%","50%","10%","job",1,1,1,0,"The candidate demonstrated skill A","c5"
"255","3fptwaqomn",1,"80%","50%","10%","50%","group",0,1,1,1,"The postdoc talked about the paper","d3"
