"","mindsCode","situTag","Preference","Knowledge","Character","Start","short_vis","long_vis","short_inv","long_inv"
"129","M928115","1110","Hot dogs","Yes","Sporty","Pizza visible",7,7,5,1
"130","M928115","0111","Absent","Yes","Sporty","Hot dogs visible",3,5,4,5
"131","M928115","0000","Absent","No","Lazy","Pizza visible",3,1,1,3
"132","M928115","0010","Absent","No","Sporty","Pizza visible",6,6,7,6
"133","M928115","1010","Hot dogs","No","Sporty","Pizza visible",7,7,6,5
"134","M928115","0011","Absent","No","Sporty","Hot dogs visible",7,7,7,7
"135","M928115","1000","Hot dogs","No","Lazy","Pizza visible",1,2,1,3
"136","M928115","1111","Hot dogs","Yes","Sporty","Hot dogs visible",5,7,7,7
"137","M928115","1001","Hot dogs","No","Lazy","Hot dogs visible",1,3,2,1
"138","M928115","0100","Absent","Yes","Lazy","Pizza visible",1,3,2,3
"139","M928115","1011","Hot dogs","No","Sporty","Hot dogs visible",7,6,4,5
"140","M928115","1100","Hot dogs","Yes","Lazy","Pizza visible",1,2,2,3
"141","M928115","0001","Absent","No","Lazy","Hot dogs visible",1,3,2,3
"142","M928115","1101","Hot dogs","Yes","Lazy","Hot dogs visible",1,3,2,3
"143","M928115","0101","Absent","Yes","Lazy","Hot dogs visible",1,3,2,3
"144","M928115","0110","Absent","Yes","Sporty","Pizza visible",7,6,7,7
"145","M013435","0100","Absent","Yes","Lazy","Pizza visible",7,2,5,2
"146","M013435","1110","Hot dogs","Yes","Sporty","Pizza visible",1,6,4,6
"147","M013435","1100","Hot dogs","Yes","Lazy","Pizza visible",4,1,6,3
"148","M013435","0110","Absent","Yes","Sporty","Pizza visible",5,5,5,5
"149","M013435","0101","Absent","Yes","Lazy","Hot dogs visible",5,2,5,2
"150","M013435","0011","Absent","No","Sporty","Hot dogs visible",5,5,5,5
"151","M013435","1111","Hot dogs","Yes","Sporty","Hot dogs visible",6,6,1,1
"152","M013435","1011","Hot dogs","No","Sporty","Hot dogs visible",6,6,4,1
"153","M013435","1010","Hot dogs","No","Sporty","Pizza visible",3,5,5,5
"154","M013435","1000","Hot dogs","No","Lazy","Pizza visible",4,1,6,5
"155","M013435","1001","Hot dogs","No","Lazy","Hot dogs visible",6,4,5,1
"156","M013435","0010","Absent","No","Sporty","Pizza visible",5,5,5,5
"157","M013435","0000","Absent","No","Lazy","Pizza visible",5,2,5,5
"158","M013435","1101","Hot dogs","Yes","Lazy","Hot dogs visible",6,1,1,1
"159","M013435","0111","Absent","Yes","Sporty","Hot dogs visible",5,5,5,5
"160","M013435","0001","Absent","No","Lazy","Hot dogs visible",5,5,5,5
"161","M072562","1011","Hot dogs","No","Sporty","Hot dogs visible",7,2,1,1
"162","M072562","0000","Absent","No","Lazy","Pizza visible",7,1,2,1
"163","M072562","0101","Absent","Yes","Lazy","Hot dogs visible",7,1,4,1
"164","M072562","0011","Absent","No","Sporty","Hot dogs visible",4,3,3,4
"165","M072562","1101","Hot dogs","Yes","Lazy","Hot dogs visible",7,1,2,1
"166","M072562","1001","Hot dogs","No","Lazy","Hot dogs visible",7,1,1,1
"167","M072562","0100","Absent","Yes","Lazy","Pizza visible",7,1,3,1
"168","M072562","1100","Hot dogs","Yes","Lazy","Pizza visible",3,1,7,1
"169","M072562","1010","Hot dogs","No","Sporty","Pizza visible",2,1,4,4
"170","M072562","1000","Hot dogs","No","Lazy","Pizza visible",4,1,5,2
"171","M072562","0001","Absent","No","Lazy","Hot dogs visible",7,1,3,1
"172","M072562","1111","Hot dogs","Yes","Sporty","Hot dogs visible",7,3,1,2
"173","M072562","0010","Absent","No","Sporty","Pizza visible",3,3,3,4
"174","M072562","0111","Absent","Yes","Sporty","Hot dogs visible",4,3,4,3
"175","M072562","1110","Hot dogs","Yes","Sporty","Pizza visible",1,1,5,6
"176","M072562","0110","Absent","Yes","Sporty","Pizza visible",2,4,3,4
"177","M089254","1101","Hot dogs","Yes","Lazy","Hot dogs visible",6,2,3,1
"178","M089254","0011","Absent","No","Sporty","Hot dogs visible",4,5,4,4
"179","M089254","0100","Absent","Yes","Lazy","Pizza visible",7,1,3,1
"180","M089254","1010","Hot dogs","No","Sporty","Pizza visible",4,3,6,5
"181","M089254","1110","Hot dogs","Yes","Sporty","Pizza visible",3,5,5,6
"182","M089254","0000","Absent","No","Lazy","Pizza visible",7,1,5,1
"183","M089254","0110","Absent","Yes","Sporty","Pizza visible",2,6,5,5
"184","M089254","1011","Hot dogs","No","Sporty","Hot dogs visible",3,6,3,5
"185","M089254","1100","Hot dogs","Yes","Lazy","Pizza visible",5,1,5,1
"186","M089254","1111","Hot dogs","Yes","Sporty","Hot dogs visible",4,6,2,5
"187","M089254","0111","Absent","Yes","Sporty","Hot dogs visible",3,6,3,5
"188","M089254","1000","Hot dogs","No","Lazy","Pizza visible",6,1,3,1
"189","M089254","1001","Hot dogs","No","Lazy","Hot dogs visible",5,1,5,2
"190","M089254","0001","Absent","No","Lazy","Hot dogs visible",6,1,6,1
"191","M089254","0101","Absent","Yes","Lazy","Hot dogs visible",6,1,5,1
"192","M089254","0010","Absent","No","Sporty","Pizza visible",3,6,4,6
"193","M010509","0110","Absent","Yes","Sporty","Pizza visible",4,6,3,4
"194","M010509","1110","Hot dogs","Yes","Sporty","Pizza visible",3,1,6,7
"195","M010509","1100","Hot dogs","Yes","Lazy","Pizza visible",2,1,5,4
"196","M010509","0011","Absent","No","Sporty","Hot dogs visible",3,3,3,4
"197","M010509","1010","Hot dogs","No","Sporty","Pizza visible",4,2,7,7
"198","M010509","0001","Absent","No","Lazy","Hot dogs visible",7,2,6,2
"199","M010509","1011","Hot dogs","No","Sporty","Hot dogs visible",5,5,3,1
"200","M010509","0101","Absent","Yes","Lazy","Hot dogs visible",7,4,5,4
"201","M010509","0100","Absent","Yes","Lazy","Pizza visible",7,1,5,2
"202","M010509","1101","Hot dogs","Yes","Lazy","Hot dogs visible",7,5,1,1
"203","M010509","1000","Hot dogs","No","Lazy","Pizza visible",5,1,7,5
"204","M010509","0111","Absent","Yes","Sporty","Hot dogs visible",7,7,7,7
"205","M010509","1001","Hot dogs","No","Lazy","Hot dogs visible",7,5,5,1
"206","M010509","1111","Hot dogs","Yes","Sporty","Hot dogs visible",7,7,1,1
"207","M010509","0010","Absent","No","Sporty","Pizza visible",4,4,4,4
"208","M010509","0000","Absent","No","Lazy","Pizza visible",7,3,5,3
"209","M068941","1100","Hot dogs","Yes","Lazy","Pizza visible",3,4,5,7
"210","M068941","0111","Absent","Yes","Sporty","Hot dogs visible",6,7,3,1
"211","M068941","1000","Hot dogs","No","Lazy","Pizza visible",1,1,7,7
"212","M068941","0011","Absent","No","Sporty","Hot dogs visible",3,1,6,4
"213","M068941","0001","Absent","No","Lazy","Hot dogs visible",7,6,3,2
"214","M068941","1010","Hot dogs","No","Sporty","Pizza visible",6,6,5,3
"215","M068941","0100","Absent","Yes","Lazy","Pizza visible",1,1,7,5
"216","M068941","1101","Hot dogs","Yes","Lazy","Hot dogs visible",6,6,1,2
"217","M068941","0000","Absent","No","Lazy","Pizza visible",6,2,7,2
"218","M068941","1011","Hot dogs","No","Sporty","Hot dogs visible",3,7,4,4
"219","M068941","0010","Absent","No","Sporty","Pizza visible",5,3,6,3
"220","M068941","1001","Hot dogs","No","Lazy","Hot dogs visible",4,2,4,7
"221","M068941","1110","Hot dogs","Yes","Sporty","Pizza visible",3,4,2,5
"222","M068941","0110","Absent","Yes","Sporty","Pizza visible",1,5,4,1
"223","M068941","1111","Hot dogs","Yes","Sporty","Hot dogs visible",1,7,6,1
"224","M068941","0101","Absent","Yes","Lazy","Hot dogs visible",1,6,4,7
"225","M072298","0001","Absent","No","Lazy","Hot dogs visible",7,1,5,1
"226","M072298","0011","Absent","No","Sporty","Hot dogs visible",3,5,3,5
"227","M072298","1100","Hot dogs","Yes","Lazy","Pizza visible",3,1,7,5
"228","M072298","1111","Hot dogs","Yes","Sporty","Hot dogs visible",7,4,1,1
"229","M072298","0101","Absent","Yes","Lazy","Hot dogs visible",7,3,7,1
"230","M072298","1000","Hot dogs","No","Lazy","Pizza visible",3,1,7,4
"231","M072298","1001","Hot dogs","No","Lazy","Hot dogs visible",7,4,4,1
"232","M072298","1010","Hot dogs","No","Sporty","Pizza visible",3,1,7,6
"233","M072298","0010","Absent","No","Sporty","Pizza visible",2,6,4,6
"234","M072298","1011","Hot dogs","No","Sporty","Hot dogs visible",5,7,3,3
"235","M072298","1110","Hot dogs","Yes","Sporty","Pizza visible",1,3,6,7
"236","M072298","1101","Hot dogs","Yes","Lazy","Hot dogs visible",7,4,3,1
"237","M072298","0111","Absent","Yes","Sporty","Hot dogs visible",3,7,4,7
"238","M072298","0000","Absent","No","Lazy","Pizza visible",7,1,7,1
"239","M072298","0110","Absent","Yes","Sporty","Pizza visible",1,7,4,7
"240","M072298","0100","Absent","Yes","Lazy","Pizza visible",7,1,6,1
"241","M458151","1011","Hot dogs","No","Sporty","Hot dogs visible",7,5,1,2
"242","M458151","1101","Hot dogs","Yes","Lazy","Hot dogs visible",7,1,4,3
"243","M458151","1110","Hot dogs","Yes","Sporty","Pizza visible",5,6,1,7
"244","M458151","0111","Absent","Yes","Sporty","Hot dogs visible",5,2,7,5
"245","M458151","0001","Absent","No","Lazy","Hot dogs visible",5,7,2,2
"246","M458151","0000","Absent","No","Lazy","Pizza visible",7,5,5,6
"247","M458151","0011","Absent","No","Sporty","Hot dogs visible",7,5,4,3
"248","M458151","0100","Absent","Yes","Lazy","Pizza visible",4,3,7,2
"249","M458151","1001","Hot dogs","No","Lazy","Hot dogs visible",2,1,2,2
"250","M458151","0101","Absent","Yes","Lazy","Hot dogs visible",6,7,5,5
"251","M458151","1010","Hot dogs","No","Sporty","Pizza visible",1,1,6,3
"252","M458151","0010","Absent","No","Sporty","Pizza visible",7,2,5,5
"253","M458151","1000","Hot dogs","No","Lazy","Pizza visible",7,6,2,3
"254","M458151","1111","Hot dogs","Yes","Sporty","Hot dogs visible",6,1,5,1
"255","M458151","1100","Hot dogs","Yes","Lazy","Pizza visible",7,2,1,1
"256","M458151","0110","Absent","Yes","Sporty","Pizza visible",1,1,4,7
"257","M030351","0011","Absent","No","Sporty","Hot dogs visible",5,1,5,2
"258","M030351","1001","Hot dogs","No","Lazy","Hot dogs visible",7,1,2,1
"259","M030351","0100","Absent","Yes","Lazy","Pizza visible",6,1,3,1
"260","M030351","1110","Hot dogs","Yes","Sporty","Pizza visible",2,1,5,3
"261","M030351","0001","Absent","No","Lazy","Hot dogs visible",6,1,2,1
"262","M030351","0010","Absent","No","Sporty","Pizza visible",5,1,3,3
"263","M030351","0110","Absent","Yes","Sporty","Pizza visible",2,3,3,3
"264","M030351","1101","Hot dogs","Yes","Lazy","Hot dogs visible",7,1,1,1
"265","M030351","1111","Hot dogs","Yes","Sporty","Hot dogs visible",4,4,1,1
"266","M030351","1000","Hot dogs","No","Lazy","Pizza visible",4,1,3,2
"267","M030351","1011","Hot dogs","No","Sporty","Hot dogs visible",4,4,2,2
"268","M030351","1010","Hot dogs","No","Sporty","Pizza visible",2,2,3,3
"269","M030351","0111","Absent","Yes","Sporty","Hot dogs visible",2,3,2,3
"270","M030351","1100","Hot dogs","Yes","Lazy","Pizza visible",4,1,4,1
"271","M030351","0101","Absent","Yes","Lazy","Hot dogs visible",6,1,3,1
"272","M030351","0000","Absent","No","Lazy","Pizza visible",7,1,2,1
"273","M995268","1011","Hot dogs","No","Sporty","Hot dogs visible",4,6,1,2
"274","M995268","0000","Absent","No","Lazy","Pizza visible",7,1,5,3
"275","M995268","1100","Hot dogs","Yes","Lazy","Pizza visible",4,1,7,2
"276","M995268","0011","Absent","No","Sporty","Hot dogs visible",3,6,4,5
"277","M995268","1000","Hot dogs","No","Lazy","Pizza visible",7,1,5,4
"278","M995268","1010","Hot dogs","No","Sporty","Pizza visible",2,3,4,6
"279","M995268","0100","Absent","Yes","Lazy","Pizza visible",7,1,4,2
"280","M995268","1110","Hot dogs","Yes","Sporty","Pizza visible",1,3,5,7
"281","M995268","0111","Absent","Yes","Sporty","Hot dogs visible",1,7,3,6
"282","M995268","1111","Hot dogs","Yes","Sporty","Hot dogs visible",5,7,2,4
"283","M995268","0001","Absent","No","Lazy","Hot dogs visible",7,1,4,1
"284","M995268","0110","Absent","Yes","Sporty","Pizza visible",4,7,2,6
"285","M995268","1001","Hot dogs","No","Lazy","Hot dogs visible",7,2,5,1
"286","M995268","0010","Absent","No","Sporty","Pizza visible",2,6,5,4
"287","M995268","0101","Absent","Yes","Lazy","Hot dogs visible",7,1,6,2
"288","M995268","1101","Hot dogs","Yes","Lazy","Hot dogs visible",7,1,3,2
"289","M018834","0001","Absent","No","Lazy","Hot dogs visible",5,1,4,2
"290","M018834","0000","Absent","No","Lazy","Pizza visible",5,1,4,2
"291","M018834","0110","Absent","Yes","Sporty","Pizza visible",6,4,6,4
"292","M018834","0010","Absent","No","Sporty","Pizza visible",7,1,5,3
"293","M018834","1101","Hot dogs","Yes","Lazy","Hot dogs visible",7,1,3,1
"294","M018834","1100","Hot dogs","Yes","Lazy","Pizza visible",3,1,6,1
"295","M018834","1011","Hot dogs","No","Sporty","Hot dogs visible",6,2,4,2
"296","M018834","0101","Absent","Yes","Lazy","Hot dogs visible",5,1,6,1
"297","M018834","0111","Absent","Yes","Sporty","Hot dogs visible",5,4,5,5
"298","M018834","1110","Hot dogs","Yes","Sporty","Pizza visible",5,2,6,3
"299","M018834","0100","Absent","Yes","Lazy","Pizza visible",5,1,5,2
"300","M018834","1010","Hot dogs","No","Sporty","Pizza visible",4,1,6,4
"301","M018834","1001","Hot dogs","No","Lazy","Hot dogs visible",6,4,3,2
"302","M018834","1111","Hot dogs","Yes","Sporty","Hot dogs visible",6,2,4,2
"303","M018834","1000","Hot dogs","No","Lazy","Pizza visible",7,1,4,2
"304","M018834","0011","Absent","No","Sporty","Hot dogs visible",7,4,3,4
"305","M023138","0101","Absent","Yes","Lazy","Hot dogs visible",7,1,7,1
"306","M023138","1000","Hot dogs","No","Lazy","Pizza visible",4,1,6,1
"307","M023138","0001","Absent","No","Lazy","Hot dogs visible",7,1,6,1
"308","M023138","1010","Hot dogs","No","Sporty","Pizza visible",4,2,7,5
"309","M023138","0100","Absent","Yes","Lazy","Pizza visible",7,1,5,1
"310","M023138","1111","Hot dogs","Yes","Sporty","Hot dogs visible",7,5,2,1
"311","M023138","1101","Hot dogs","Yes","Lazy","Hot dogs visible",7,2,4,1
"312","M023138","0110","Absent","Yes","Sporty","Pizza visible",6,3,6,4
"313","M023138","0111","Absent","Yes","Sporty","Hot dogs visible",6,1,6,2
"314","M023138","1110","Hot dogs","Yes","Sporty","Pizza visible",6,2,6,2
"315","M023138","1001","Hot dogs","No","Lazy","Hot dogs visible",7,4,3,1
"316","M023138","1011","Hot dogs","No","Sporty","Hot dogs visible",7,5,4,1
"317","M023138","0011","Absent","No","Sporty","Hot dogs visible",6,2,5,4
"318","M023138","0010","Absent","No","Sporty","Pizza visible",6,2,4,2
"319","M023138","0000","Absent","No","Lazy","Pizza visible",7,1,1,1
"320","M023138","1100","Hot dogs","Yes","Lazy","Pizza visible",4,1,6,2
"321","M574820","0000","Absent","No","Lazy","Pizza visible",5,2,4,3
"322","M574820","0111","Absent","Yes","Sporty","Hot dogs visible",5,4,5,5
"323","M574820","1101","Hot dogs","Yes","Lazy","Hot dogs visible",7,1,1,1
"324","M574820","1000","Hot dogs","No","Lazy","Pizza visible",5,2,4,4
"325","M574820","1001","Hot dogs","No","Lazy","Hot dogs visible",7,2,3,2
"326","M574820","1010","Hot dogs","No","Sporty","Pizza visible",3,3,5,4
"327","M574820","0110","Absent","Yes","Sporty","Pizza visible",4,4,4,4
"328","M574820","0011","Absent","No","Sporty","Hot dogs visible",5,1,4,4
"329","M574820","0001","Absent","No","Lazy","Hot dogs visible",5,2,4,1
"330","M574820","1011","Hot dogs","No","Sporty","Hot dogs visible",7,1,3,2
"331","M574820","0100","Absent","Yes","Lazy","Pizza visible",7,1,5,1
"332","M574820","1100","Hot dogs","Yes","Lazy","Pizza visible",3,1,7,1
"333","M574820","0010","Absent","No","Sporty","Pizza visible",6,3,4,4
"334","M574820","1110","Hot dogs","Yes","Sporty","Pizza visible",5,1,5,1
"335","M574820","1111","Hot dogs","Yes","Sporty","Hot dogs visible",7,1,2,2
"336","M574820","0101","Absent","Yes","Lazy","Hot dogs visible",6,1,6,1
"337","M005436","0101","Absent","Yes","Lazy","Hot dogs visible",7,1,5,2
"338","M005436","1101","Hot dogs","Yes","Lazy","Hot dogs visible",3,1,5,3
"339","M005436","1100","Hot dogs","Yes","Lazy","Pizza visible",3,1,5,1
"340","M005436","1001","Hot dogs","No","Lazy","Hot dogs visible",4,3,5,2
"341","M005436","0001","Absent","No","Lazy","Hot dogs visible",4,1,5,3
"342","M005436","0110","Absent","Yes","Sporty","Pizza visible",0,0,5,4
"343","M005436","1111","Hot dogs","Yes","Sporty","Hot dogs visible",3,3,5,4
"344","M005436","1110","Hot dogs","Yes","Sporty","Pizza visible",5,1,5,1
"345","M005436","1000","Hot dogs","No","Lazy","Pizza visible",5,2,3,1
"346","M005436","0000","Absent","No","Lazy","Pizza visible",5,2,5,3
"347","M005436","0100","Absent","Yes","Lazy","Pizza visible",5,1,5,3
"348","M005436","1011","Hot dogs","No","Sporty","Hot dogs visible",4,4,3,3
"349","M005436","0011","Absent","No","Sporty","Hot dogs visible",5,4,4,4
"350","M005436","0010","Absent","No","Sporty","Pizza visible",5,2,5,3
"351","M005436","0111","Absent","Yes","Sporty","Hot dogs visible",5,3,5,4
